店名,地址,電話,網站,評分,評分數量,營業時間,寄宿可能性,城市,區域,分類
小蕃薯犬貓美容旅店,811台灣高雄市楠梓區德賢路248巷11弄7號,0973 700 157,https://m.facebook.com/%E5%B0%8F%E8%95%83%E8%96%AF%E5%AF%B5%E7%89%A9%E7%BE%8E%E5%AE%B9-1615578985415961/,4.8,172,星期一: 09:30 – 17:00 | 星期二: 休息 | 星期三: 09:30 – 17:00 | 星期四: 09:30 – 17:00 | 星期五: 09:30 – 17:00 | 星期六: 09:30 – 17:00 | 星期日: 09:30 – 17:00,5,高雄市,楠梓區,美容
丹鄰寵物沙龍坊｜毛孩沙龍｜汪喵旅館｜訂房採預約制｜寵物旅館｜寵物美容,811台灣高雄市楠梓區樂群路198號,0908 548 888,https://www.facebook.com/profile.php?id=61555062695941,5,90,星期一: 09:00 – 19:00 | 星期二: 09:00 – 19:00 | 星期三: 09:00 – 19:00 | 星期四: 09:00 – 19:00 | 星期五: 09:00 – 19:00 | 星期六: 09:00 – 19:00 | 星期日: 09:00 – 17:00,5,高雄市,楠梓區,美容
洗洗睡寵物沙龍（官方Line預約制),811台灣高雄市楠梓區大學二十六街199號,,https://www.facebook.com/Showersleep/,4.8,25,星期一: 10:00 – 18:30 | 星期二: 10:00 – 18:30 | 星期三: 10:00 – 18:30 | 星期四: 10:00 – 18:30 | 星期五: 10:00 – 18:30 | 星期六: 10:00 – 18:30 | 星期日: 10:00 – 18:30,5,高雄市,楠梓區,美容
綠棧道寵物旅館沙龍,811台灣高雄市楠梓區興楠路27號,0909 811 983,,4.7,113,星期一: 09:00 – 19:00 | 星期二: 09:00 – 19:00 | 星期三: 09:00 – 19:00 | 星期四: 09:00 – 19:00 | 星期五: 09:00 – 19:00 | 星期六: 09:00 – 19:00 | 星期日: 休息,5,高雄市,楠梓區,美容
LaiDua寵物美容＆寵物住宿（安親、貓咪寄宿、高雄寵物住宿）,811台灣高雄市楠梓區土庫一路10號,0971 757 031,https://www.facebook.com/laiduapetspahotel,4.9,50,星期一: 11:00 – 18:30 | 星期二: 11:00 – 18:30 | 星期三: 11:00 – 18:30 | 星期四: 11:00 – 18:30 | 星期五: 11:00 – 18:30 | 星期六: 11:00 – 18:30 | 星期日: 11:00 – 18:30,5,高雄市,楠梓區,美容
HighDog寵物美容·客制手修,811台灣高雄市楠梓區清泰路195號,07 351 8161,https://m.facebook.com/profile.php?id=2171853903062231&ref=content_filter,5,8,星期一: 休息 | 星期二: 休息 | 星期三: 11:00 – 16:00 | 星期四: 11:00 – 16:00 | 星期五: 11:00 – 16:00 | 星期六: 11:00 – 16:00 | 星期日: 11:00 – 16:00,5,高雄市,楠梓區,美容
狗的貓泥寵物美容工作室（官方Line 預約）,811701台灣高雄市楠梓區大學十八街110號7樓,0981 479 432,https://www.instagram.com/0305_petgrooming_studio_01/profilecard/?igsh=MWV0MzR3Z3Z2cXVjNQ==,5,4,"星期一: 10:00 – 00:00 | 星期二: 00:00 – 06:30, 10:00 – 00:00 | 星期三: 00:00 – 06:30, 10:00 – 00:00 | 星期四: 00:00 – 06:30, 10:00 – 18:30 | 星期五: 10:00 – 18:30 | 星期六: 10:00 – 18:30 | 星期日: 休息",5,高雄市,楠梓區,美容
汪了個喵寵物美容住宿 - 犬貓美容SPA、皮膚調理、犬貓安親,811台灣高雄市楠梓區卓越路159號,0978 300 829,,5,14,星期一: 09:00 – 19:00 | 星期二: 09:00 – 19:00 | 星期三: 09:00 – 19:00 | 星期四: 09:00 – 19:00 | 星期五: 09:00 – 19:00 | 星期六: 09:00 – 19:00 | 星期日: 休息,5,高雄市,楠梓區,美容
達克寵物美容,811台灣高雄市楠梓區常德路240巷23弄29號,07 352 2192,http://www.facebook.com/%E9%81%94%E5%85%8B%E5%AF%B5%E7%89%A9%E7%BE%8E%E5%AE%B9-329134170948593/,5,19,星期一: 09:00 – 15:00 | 星期二: 09:00 – 15:00 | 星期三: 09:00 – 15:00 | 星期四: 09:00 – 15:00 | 星期五: 09:00 – 15:00 | 星期六: 09:00 – 15:00 | 星期日: 休息,5,高雄市,楠梓區,美容
米特寵物美容旅店（寵物美容/住宿/安親）Meet Pet Grooming Salon & Hotel,811台灣高雄市楠梓區惠正街145號,0916 922 982,https://www.facebook.com/meetahuang/,5,28,星期一: 休息 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 休息,5,高雄市,楠梓區,美容
相浴寵物沙龍 & 犬貓住宿 ( 預約制 ),811台灣高雄市楠梓區惠豐街190號,0989 137 701,https://www.facebook.com/%E7%9B%B8%E6%B5%B4%E5%AF%B5%E7%89%A9%E6%B2%99%E9%BE%8D-107477234194640/,5,12,星期一: 10:00 – 17:30 | 星期二: 10:00 – 17:30 | 星期三: 休息 | 星期四: 10:00 – 17:30 | 星期五: 10:00 – 17:30 | 星期六: 10:00 – 17:30 | 星期日: 10:00 – 17:30,5,高雄市,楠梓區,美容
汪汪狗寵物美容店,811台灣高雄市楠梓區加昌路385號,0900 400 123,,4.3,26,,5,高雄市,楠梓區,美容
豆桑の工作室 寵物精緻沙龍｜大社｜楠梓區,815台灣高雄市大社區三民路395號,07 353 3959,https://instagram.com/__doumulus?utm_medium=copy_link,4.9,50,星期一: 10:30 – 19:00 | 星期二: 休息 | 星期三: 10:30 – 19:00 | 星期四: 10:30 – 19:00 | 星期五: 10:30 – 19:00 | 星期六: 10:30 – 19:00 | 星期日: 10:30 – 19:00,5,高雄市,楠梓區,美容
布丁狗愛犬美容,81165台灣高雄市楠梓區清成街23號,0931 775 523,,4,24,星期一: 09:00 – 19:00 | 星期二: 09:00 – 19:00 | 星期三: 休息 | 星期四: 09:00 – 19:00 | 星期五: 09:00 – 19:00 | 星期六: 09:00 – 19:00 | 星期日: 09:00 – 19:00,5,高雄市,楠梓區,美容
剛剛行寵物沙龍 楠梓分店,811台灣高雄市楠梓區後昌新路130號,07 362 9777,https://zh-tw.facebook.com/%E5%89%9B%E5%89%9B%E8%A1%8C%E5%AF%B5%E7%89%A9%E6%B2%99%E9%BE%8D%E5%B0%88%E6%A5%AD%E8%B2%93%E6%97%85%E9%A4%A8-656271047862618/,4.8,4,星期一: 10:20 – 19:30 | 星期二: 10:20 – 19:30 | 星期三: 10:20 – 19:30 | 星期四: 10:20 – 19:30 | 星期五: 10:20 – 19:30 | 星期六: 10:20 – 19:30 | 星期日: 10:20 – 19:30,5,高雄市,楠梓區,美容
Woosa53寵物沙龍,81151台灣高雄市楠梓區壽民路53號1樓,0958 453 537,https://www.facebook.com/share/15mvVXYj1K/?mibextid=wwXIfr,5,8,星期一: 09:30 – 18:30 | 星期二: 09:30 – 18:30 | 星期三: 09:30 – 18:30 | 星期四: 09:30 – 18:30 | 星期五: 09:30 – 18:30 | 星期六: 09:30 – 18:30 | 星期日: 休息,5,高雄市,楠梓區,美容
Shaggy Dog 懶狗狗寵物沙龍,811台灣高雄市楠梓區右昌街124號,07 962 3032,https://www.facebook.com/profile.php?id=61564465259787,5,11,星期一: 09:00 – 18:00 | 星期二: 09:00 – 18:00 | 星期三: 09:00 – 18:00 | 星期四: 09:00 – 18:00 | 星期五: 09:00 – 18:00 | 星期六: 09:00 – 18:00 | 星期日: 休息,5,高雄市,楠梓區,美容
凱米寵物美容工作室,815台灣高雄市大社區旗楠路21號,0985 305 876,,5,6,星期一: 10:00 – 18:00 | 星期二: 10:00 – 18:00 | 星期三: 10:00 – 18:00 | 星期四: 10:00 – 18:00 | 星期五: 10:00 – 18:00 | 星期六: 休息 | 星期日: 休息,5,高雄市,楠梓區,美容
寶尼妞寵物沙龍,811台灣高雄市楠梓區壽豐路280號2樓,0962 021 239,https://www.facebook.com/share/1BHyj8E3SB/?mibextid=wwXIfr,5,4,星期一: 10:00 – 17:00 | 星期二: 10:00 – 17:00 | 星期三: 10:00 – 17:00 | 星期四: 10:00 – 17:00 | 星期五: 10:00 – 17:00 | 星期六: 10:00 – 17:00 | 星期日: 休息,5,高雄市,楠梓區,美容
寵の領域 寵物精品美容&寵物旅館,811台灣高雄市楠梓區右昌街807號,07 363 2885,https://www.facebook.com/%E5%AF%B5%E3%81%AE%E9%A0%98%E5%9F%9F-%E5%AF%B5%E7%89%A9%E7%B2%BE%E5%93%81%E7%BE%8E%E5%AE%B9%E5%AF%B5%E7%89%A9%E6%97%85%E9%A4%A8-109509297198953/?ref=pages_you_manage,2.6,9,星期一: 11:00 – 20:00 | 星期二: 11:00 – 20:00 | 星期三: 11:00 – 20:00 | 星期四: 11:00 – 20:00 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00,5,高雄市,楠梓區,美容
原野寵物｜貓犬SPA專科｜醫美級寵物美容,813台灣高雄市左營區後昌路605號,07 364 1303,https://lin.ee/VjE1WiB,5,131,星期一: 11:59 – 21:00 | 星期二: 11:59 – 21:00 | 星期三: 休息 | 星期四: 11:59 – 21:00 | 星期五: 11:59 – 21:00 | 星期六: 11:59 – 21:00 | 星期日: 11:59 – 21:00,5,高雄市,楠梓區,美容
珂帝絲寵物美容,811台灣高雄市楠梓區加昌路777號,07 363 8608,https://www.facebook.com/%E7%8F%82%E5%B8%9D%E7%B5%B2%E5%AF%B5%E7%89%A9%E7%BE%8E%E5%AE%B9-2248445195411934/,5,6,星期一: 10:30 – 19:00 | 星期二: 10:30 – 19:00 | 星期三: 10:30 – 19:00 | 星期四: 10:30 – 19:00 | 星期五: 10:30 – 19:00 | 星期六: 10:30 – 19:00 | 星期日: 10:30 – 19:00,5,高雄市,楠梓區,美容
享沐寵物美容,825台灣高雄市橋頭區隆豐路234號,0983 605 038,,5,27,星期一: 09:30 – 18:00 | 星期二: 09:30 – 18:00 | 星期三: 09:30 – 18:00 | 星期四: 09:30 – 18:00 | 星期五: 09:30 – 18:00 | 星期六: 09:30 – 18:00 | 星期日: 休息,5,高雄市,楠梓區,美容
大社犬貓美容（大社總店）,815台灣高雄市大社區中山路42號,07 358 1819,https://lin.ee/27k922q,4.9,427,星期一: 08:00 – 18:00 | 星期二: 08:00 – 18:00 | 星期三: 08:00 – 18:00 | 星期四: 08:00 – 18:00 | 星期五: 08:00 – 18:00 | 星期六: 08:00 – 18:00 | 星期日: 休息,5,高雄市,楠梓區,美容
多野樂旅館 Dogether Hotel－寵物友善旅館〡寵物美容〡寵物泳池,811台灣高雄市楠梓區興楠路385號,07 351 0222,https://bit.ly/3AtV6lG,4.5,378,,5,高雄市,楠梓區,美容
囍歡妮寵物美容工作室,811台灣高雄市楠梓區土庫路81號,0982 076 137,,,,星期一: 10:00 – 18:00 | 星期二: 10:00 – 18:00 | 星期三: 10:00 – 18:00 | 星期四: 10:00 – 18:00 | 星期五: 10:00 – 18:00 | 星期六: 10:00 – 18:00 | 星期日: 10:00 – 18:00,5,高雄市,楠梓區,美容
莒光寵物美容SPA館,811台灣高雄市楠梓區加昌路851號2F,07 363 7003,,,,"星期一: 08:00 – 12:00, 13:00 – 17:00 | 星期二: 08:00 – 12:00, 13:00 – 17:00 | 星期三: 08:00 – 12:00, 13:00 – 17:00 | 星期四: 08:00 – 12:00, 13:00 – 17:00 | 星期五: 08:00 – 12:00, 13:00 – 17:00 | 星期六: 08:00 – 12:00, 13:00 – 17:00 | 星期日: 08:00 – 12:00, 13:00 – 17:00",5,高雄市,楠梓區,美容
王子與公主寵物美容 左營店,813台灣高雄市左營區西陵街94號,07 588 6986,https://www.facebook.com/love0915015952/,4.9,130,星期一: 11:00 – 19:00 | 星期二: 11:00 – 19:00 | 星期三: 11:00 – 19:00 | 星期四: 11:00 – 19:00 | 星期五: 11:00 – 19:00 | 星期六: 11:00 – 19:00 | 星期日: 11:00 – 19:00,5,高雄市,楠梓區,美容
樂毛派寵物美容生活館,811台灣高雄市楠梓區德民路418號,0958 474 036,,,,,5,高雄市,楠梓區,美容
Bo妞寵物美容,811台灣高雄市楠梓區青埔街50巷76號,,,,,,5,高雄市,楠梓區,美容
萌寵美容spa生活館,811台灣高雄市楠梓區加昌路986號,0931 725 561,https://www.facebook.com/%E8%90%8C%E5%AF%B5%E7%BE%8E%E5%AE%B9spa%E7%94%9F%E6%B4%BB%E9%A4%A8-107571037270120/,4.7,30,星期一: 10:00 – 17:30 | 星期二: 10:00 – 17:30 | 星期三: 10:00 – 17:30 | 星期四: 10:00 – 17:30 | 星期五: 10:00 – 17:30 | 星期六: 10:00 – 17:30 | 星期日: 休息,4,高雄市,楠梓區,美容
貓之森寵物生活館,811台灣高雄市楠梓區慶昌街43巷1弄7號,0906 414 938,https://lin.ee/N3FRBvi,4.9,32,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,3,高雄市,楠梓區,美容
毛小孩寵物澡堂,811台灣高雄市楠梓區瑞仁路46號,0988 003 560,https://www.facebook.com/doggysalon3100669/,4.9,28,星期一: 10:30 – 17:00 | 星期二: 休息 | 星期三: 休息 | 星期四: 休息 | 星期五: 10:30 – 17:00 | 星期六: 10:30 – 17:00 | 星期日: 休息,2,高雄市,楠梓區,美容
蝶の戀寵物美學生活館,811台灣高雄市楠梓區瑞屏路62號,07 364 7124,https://m.facebook.com/profile.php?id=890905234255610,4.7,16,星期一: 休息 | 星期二: 休息 | 星期三: 10:30 – 18:00 | 星期四: 10:30 – 18:00 | 星期五: 10:30 – 18:00 | 星期六: 10:30 – 18:00 | 星期日: 10:30 – 18:00,2,高雄市,楠梓區,美容
東森寵物 楠梓興楠店,811台灣高雄市楠梓區興楠路60號,07 354 2228,https://www.etipets.com/,4.5,623,星期一: 10:00 – 22:00 | 星期二: 10:00 – 22:00 | 星期三: 10:00 – 22:00 | 星期四: 10:00 – 22:00 | 星期五: 10:00 – 22:00 | 星期六: 10:00 – 22:00 | 星期日: 10:00 – 22:00,2,高雄市,楠梓區,美容
萊洗寵物自助澡堂,811台灣高雄市楠梓區土庫二路58號,0973 138 733,https://www.facebook.com/111435077934482/posts/pfbid044LwJUNkcVCb4sLyBE8bhSiN5pGp1xKJUnvge8RN4gwAEkusiZ2iKr5xSmwV8jiil/?d=n,4.5,21,星期一: 09:00 – 21:30 | 星期二: 09:00 – 21:30 | 星期三: 09:00 – 21:30 | 星期四: 09:00 – 21:30 | 星期五: 09:00 – 21:30 | 星期六: 09:00 – 21:30 | 星期日: 09:00 – 21:30,2,高雄市,楠梓區,美容
狗小孩寵物澡堂,811台灣高雄市楠梓區樂群路121號,07 364 2262,,4.8,19,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 休息,2,高雄市,楠梓區,美容
塔塔寵物美學｜深層清潔spa｜日式有機草本泥｜奈米淨化浴,811台灣高雄市楠梓區樂群路131號,07 364 2262,,5,5,星期一: 09:00 – 18:00 | 星期二: 09:00 – 18:00 | 星期三: 09:00 – 18:00 | 星期四: 休息 | 星期五: 09:00 – 18:00 | 星期六: 09:00 – 18:00 | 星期日: 休息,2,高雄市,楠梓區,美容
東森寵物-楠梓藍昌店,811台灣高雄市楠梓區藍昌路425號,07 591 8777,http://www.oscar-pet.com.tw/,4.3,353,星期一: 10:00 – 21:00 | 星期二: 10:00 – 21:00 | 星期三: 10:00 – 21:00 | 星期四: 10:00 – 21:00 | 星期五: 10:00 – 21:00 | 星期六: 10:00 – 21:00 | 星期日: 10:00 – 21:00,2,高雄市,楠梓區,美容
大貓先生,811台灣高雄市楠梓區德民路356巷36弄25號,0929 310 986,,3.5,2,星期一: 休息 | 星期二: 休息 | 星期三: 休息 | 星期四: 08:00 – 14:00 | 星期五: 08:00 – 14:00 | 星期六: 08:00 – 14:00 | 星期日: 休息,2,高雄市,楠梓區,美容
變色狗,811台灣高雄市楠梓區德民路997之6號,0936 860 000,,4.4,19,星期一: 12:00 – 17:00 | 星期二: 12:00 – 17:00 | 星期三: 12:00 – 17:00 | 星期四: 12:00 – 17:00 | 星期五: 12:00 – 17:00 | 星期六: 12:00 – 17:00 | 星期日: 休息,2,高雄市,楠梓區,美容
2Floordog 二樓寵物工作室｜預約制｜膚況調理｜專業洗護,825台灣高雄市橋頭區橋都路86號2F,0973 520 930,https://www.facebook.com/2FThedogshower/,5,24,星期一: 10:30 – 20:00 | 星期二: 10:30 – 20:00 | 星期三: 10:30 – 20:00 | 星期四: 10:30 – 20:00 | 星期五: 10:30 – 20:00 | 星期六: 10:30 – 20:00 | 星期日: 10:30 – 20:00,2,高雄市,楠梓區,美容
魚中魚貓狗水族大賣場-楠梓旗艦店,811台灣高雄市楠梓區興楠路258號,07 355 3399,,4.8,936,星期一: 11:00 – 22:00 | 星期二: 11:00 – 22:00 | 星期三: 11:00 – 22:00 | 星期四: 11:00 – 22:00 | 星期五: 11:00 – 22:00 | 星期六: 11:00 – 22:00 | 星期日: 11:00 – 22:00,2,高雄市,楠梓區,美容
芭芭拉寵物沙龍,811台灣高雄市楠梓區加昌路656號,07 363 7579,,,,星期一: 10:30 – 20:00 | 星期二: 10:30 – 20:00 | 星期三: 10:30 – 20:00 | 星期四: 10:30 – 20:00 | 星期五: 10:30 – 20:00 | 星期六: 10:30 – 20:00 | 星期日: 10:30 – 20:00,5,高雄市,楠梓區,美容
洗澎澎寵物美學/左營寵物店 左營寵物美容 左營寵物沙龍 左營洗狗 左營貓美容 左營洗貓 仁武寵物店 仁武寵物美容,813台灣高雄市左營區文恩路61號,0909 693 090,,5,44,星期一: 09:00 – 18:00 | 星期二: 09:00 – 18:00 | 星期三: 09:00 – 18:00 | 星期四: 09:00 – 18:00 | 星期五: 09:00 – 18:00 | 星期六: 休息 | 星期日: 休息,5,高雄市,左營區,美容
逗點寵物造型空間 逗點寵物美容 高雄寵物美容 左營寵物美容 皮脂膜調理專業造型剪藝,81361台灣高雄市左營區華夏路1468號,07 359 3958,,4.8,39,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 休息,5,高雄市,左營區,美容
CafeDOG寵物沙龍,813台灣高雄市左營區民族一路1014-1號,07 350 9755,https://www.cafedog.tw/,4.9,216,星期一: 10:00 – 18:00 | 星期二: 10:00 – 18:00 | 星期三: 10:00 – 18:00 | 星期四: 10:00 – 18:00 | 星期五: 10:00 – 18:00 | 星期六: 10:00 – 18:00 | 星期日: 10:00 – 18:00,5,高雄市,左營區,美容
哈基咪Hagimi寵物美容x住宿/左營區寵物美容推薦/高雄寵物美容推薦/狗狗住宿/貓咪住宿,813台灣高雄市左營區至聖路306號,0913 863 306,https://www.hagimi-petsalon.com.tw/,4.9,120,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,5,高雄市,左營區,美容
初心寵物美容沙龍-精緻剪/Spa/皮毛護理/狗狗住宿/安親,81361台灣高雄市左營區重信路391號,07 350 3355,https://line.me/R/ti/p/@hjm6115s,4.7,91,星期一: 09:30 – 19:00 | 星期二: 09:30 – 19:00 | 星期三: 09:30 – 19:00 | 星期四: 09:30 – 19:00 | 星期五: 09:30 – 19:00 | 星期六: 09:30 – 19:00 | 星期日: 休息,5,高雄市,左營區,美容
愛麗絲寵物spa沙龍,813台灣高雄市左營區至聖路73號,07 556 0955,https://www.facebook.com/AlicePetSpaSalon/?fref=ts,5,43,星期一: 10:30 – 19:00 | 星期二: 10:30 – 19:00 | 星期三: 休息 | 星期四: 10:30 – 19:00 | 星期五: 10:30 – 19:00 | 星期六: 10:30 – 19:00 | 星期日: 10:30 – 19:00,5,高雄市,左營區,美容
Need你的寵物美容坊,813台灣高雄市左營區富民路13巷46號,0936 675 834,https://m.facebook.com/Need%E4%BD%A0%E7%9A%84%E5%AF%B5%E7%89%A9%E7%BE%8E%E5%AE%B9%E5%9D%8A-104692515555011/,5,34,星期一: 10:00 – 19:00 | 星期二: 休息 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 15:00,5,高雄市,左營區,美容
愛狗吧寵物沙龍,813台灣高雄市左營區文萊路292號,07 350 4950,https://lin.ee/3UyEvIQ,4.9,42,星期一: 10:00 – 19:00 | 星期二: 休息 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,5,高雄市,左營區,美容
達菲寵物沙龍·旅館,813台灣高雄市左營區至真路155號,0968 655 686,,4.8,59,星期一: 10:00 – 19:00 | 星期二: 休息 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,5,高雄市,左營區,美容
毛角落寵物美容/貓狗美容/零食用品/皮毛調理Spa ‧ Corner Pet Grooming,813台灣高雄市左營區文瑞路35號,07 310 0669,https://www.facebook.com/corner1101,4.9,47,星期一: 09:00 – 17:00 | 星期二: 09:00 – 17:00 | 星期三: 09:00 – 17:00 | 星期四: 09:00 – 17:00 | 星期五: 09:00 – 17:00 | 星期六: 09:00 – 17:00 | 星期日: 休息,5,高雄市,左營區,美容
左營狗狗好棒寵物沙龍/左營寵物美容/左營寵物店/左營洗狗,813台灣高雄市左營區榮總路141巷25號,0966 066 240,,5,14,星期一: 10:00 – 18:00 | 星期二: 10:00 – 18:00 | 星期三: 10:00 – 18:00 | 星期四: 休息 | 星期五: 10:00 – 18:00 | 星期六: 10:00 – 18:00 | 星期日: 10:00 – 18:00,5,高雄市,左營區,美容
妮可寵物沙龍&智元寵物美學苑 寵物美容/住宿/教學,813台灣高雄市左營區崇德路538號,0970 667 197,,4.8,17,星期一: 11:00 – 20:00 | 星期二: 11:00 – 20:00 | 星期三: 11:00 – 20:00 | 星期四: 11:00 – 20:00 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00,5,高雄市,左營區,美容
丸子專業寵物美容,813台灣高雄市左營區自由二路83號,07 556 7787,,4.7,70,星期一: 10:00 – 18:00 | 星期二: 10:00 – 17:00 | 星期三: 10:00 – 18:00 | 星期四: 10:00 – 18:00 | 星期五: 10:00 – 18:00 | 星期六: 09:30 – 17:00 | 星期日: 休息,5,高雄市,左營區,美容
百分百寵物生活館 寵物美容 (明誠店) 獸醫師開的寵物店,813台灣高雄市左營區明誠二路408號之 1 號,07 556 5825,https://www.pet100pa.com/index,4.9,1377,星期一: 10:00 – 22:00 | 星期二: 10:00 – 22:00 | 星期三: 10:00 – 22:00 | 星期四: 10:00 – 22:00 | 星期五: 10:00 – 22:00 | 星期六: 10:00 – 22:00 | 星期日: 10:00 – 22:00,5,高雄市,左營區,美容
