店名,地址,電話,網站,評分,評分數量,營業時間,寄宿可能性,城市,區域,分類
哈寶貝寵物沙龍(毛柔專業護理店家),330台灣桃園市桃園區寶山街384號,0958 725 801,http://www.facebook.com/cutydog1,4.7,63,星期一: 10:00 – 18:00 | 星期二: 10:00 – 18:00 | 星期三: 休息 | 星期四: 休息 | 星期五: 10:00 – 18:00 | 星期六: 10:00 – 18:00 | 星期日: 10:00 – 18:00,5,桃園市,桃園區,美容
米樂寵物沙龍,"號 No. 936, No. 936中山路桃園區桃園市台灣 330",03 360 7788,,4.5,26,星期一: 09:00 – 19:30 | 星期二: 09:00 – 19:30 | 星期三: 09:00 – 19:30 | 星期四: 09:00 – 19:30 | 星期五: 09:00 – 19:30 | 星期六: 09:00 – 19:30 | 星期日: 休息,5,桃園市,桃園區,美容
iPet Store,"號1樓, No. 132新埔七街桃園區桃園市台灣 330",03 317 2989,,4.8,72,,2,桃園市,桃園區,美容
潔尼寵物工作室 Jenny pet studio（完全預約制，已暫停接待新顧客）,330台灣桃園市桃園區青溪一路128巷7號1樓,,,5,25,,2,桃園市,桃園區,美容
貝嘉寵物SPA會館,338台灣桃園市蘆竹區南昌路264-1號,03 222 0940,,5,43,星期一: 11:00 – 18:00 | 星期二: 11:00 – 18:00 | 星期三: 休息 | 星期四: 休息 | 星期五: 11:00 – 18:00 | 星期六: 10:00 – 18:00 | 星期日: 10:00 – 18:00,2,桃園市,桃園區,美容
布居寵物生活別館,330台灣桃園市桃園區同安街576號1F,0988 363 908,https://lin.ee/SYSUEvL,4.8,453,星期一: 11:00 – 21:00 | 星期二: 11:00 – 21:00 | 星期三: 11:00 – 21:00 | 星期四: 11:00 – 21:00 | 星期五: 11:00 – 21:00 | 星期六: 11:00 – 21:00 | 星期日: 11:00 – 21:00,2,桃園市,桃園區,美容
Go時尚寵物SPA會館,330台灣桃園市桃園區大興路288號,03 346 0566,https://pse.is/38yhpw,4.8,40,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 休息 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,2,桃園市,桃園區,美容
花居寵物生活別館,330台灣桃園市桃園區中正三街389號,0968 622 815,https://lin.ee/YdaEpOh,4.6,284,星期一: 08:00 – 19:00 | 星期二: 08:00 – 19:00 | 星期三: 08:00 – 19:00 | 星期四: 08:00 – 19:00 | 星期五: 08:00 – 19:00 | 星期六: 08:00 – 19:00 | 星期日: 08:00 – 19:00,2,桃園市,桃園區,美容
Dotty pet studio 兜去寵旅,338台灣桃園市蘆竹區大興八街91號,03 313 7072,,5,80,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,2,桃園市,桃園區,美容
快樂時光寵物夢工廠,330台灣桃園市桃園區中山東路119號,03 335 3853,https://www.facebook.com/Happy-Day-%E5%BF%AB%E6%A8%82%E6%99%82%E5%85%89-%E5%AF%B5%E7%89%A9%E5%A4%A2%E5%B7%A5%E5%BB%A0-2014767395516040/,4.6,31,星期一: 10:30 – 18:00 | 星期二: 10:30 – 18:00 | 星期三: 休息 | 星期四: 10:30 – 18:00 | 星期五: 10:30 – 18:00 | 星期六: 10:30 – 18:00 | 星期日: 10:30 – 18:00,2,桃園市,桃園區,美容
喜樂地動物醫院&寵物美容,338台灣桃園市蘆竹區中興路98號,03 313 2012,https://www.facebook.com/sheltie319/,4.6,195,"星期一: 10:00 – 12:00, 14:00 – 20:00 | 星期二: 10:00 – 12:00, 14:00 – 20:00 | 星期三: 10:00 – 12:00, 14:00 – 20:00 | 星期四: 10:00 – 12:00, 14:00 – 20:00 | 星期五: 10:00 – 12:00, 14:00 – 20:00 | 星期六: 10:00 – 12:00, 14:00 – 20:00 | 星期日: 休息",5,桃園市,桃園區,美容+醫院
唯婕寵物沙龍,333台灣桃園市龜山區光峰路159號,03 359 6006,https://www.facebook.com/WEI.JIE3596006,5,119,星期一: 休息 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,5,桃園市,桃園區,美容
沖鴨精緻寵物沙龍║ɢᴏɢʀᴏᴏᴍɪɴɢ ఇ,330台灣桃園市桃園區保定六街38號,03 333 0506,https://lin.ee/Cdil3sG,5,28,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 休息 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,5,桃園市,桃園區,美容
娃娃寵物沙龍,330台灣桃園市桃園區介壽路413號,03 366 5556,https://www.facebook.com/WaWaPetSalon/,5,15,星期一: 休息 | 星期二: 09:00 – 19:00 | 星期三: 09:00 – 19:00 | 星期四: 09:00 – 19:00 | 星期五: 09:00 – 19:00 | 星期六: 09:00 – 19:00 | 星期日: 休息,5,桃園市,桃園區,美容
歐里寵物沙龍,330台灣桃園市桃園區正光一街88號,,https://www.instagram.com/olliepetsalon/profilecard/?igsh=cmk1ZTA1MXBhZTZs,5,14,星期一: 10:30 – 19:00 | 星期二: 休息 | 星期三: 10:30 – 19:00 | 星期四: 10:30 – 19:00 | 星期五: 10:30 – 19:00 | 星期六: 10:30 – 19:00 | 星期日: 10:30 – 19:00,5,桃園市,桃園區,美容
U&妮寵物沙龍 狗狗貓咪洗澡 犬貓spa 口腔照護課程 到府寵物照護 寵物用品店（當月公休日期請見粉絲專頁）,334台灣桃園市八德區仁德一路136號1樓,0963 985 807,http://reurl.cc/MRArAW,5,52,星期一: 10:00 – 19:00 | 星期二: 休息 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,5,桃園市,桃園區,美容
小毛頭寵物沙龍旅館-桃園寵物洗澡|寵物美容師|寵物安親|寵物沙龍|貓狗旅館|寵物住宿|寵物旅館|貓狗美容,330台灣桃園市桃園區文中三路60號1樓,03 217 0556,https://www.facebook.com/share/kyFC5kWamP8ebWzi/?mibextid=wwXIfr,5,17,星期一: 11:00 – 20:00 | 星期二: 11:00 – 20:00 | 星期三: 11:00 – 20:00 | 星期四: 11:00 – 20:00 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00,5,桃園市,桃園區,美容
源沐寵物沙龍,320台灣桃園市中壢區榮安一街365號,03 461 2221,https://www.facebook.com/profile.php?id=100086677627422,4.9,89,星期一: 10:30 – 19:30 | 星期二: 10:30 – 19:30 | 星期三: 休息 | 星期四: 10:30 – 19:30 | 星期五: 10:30 – 19:30 | 星期六: 10:30 – 19:30 | 星期日: 10:30 – 18:00,5,桃園市,桃園區,美容
桃園市-漾漾美甲美睫紋繡除毛沙龍（寵物友善）,330台灣桃園市桃園區中正路1430號,03 316 3005,,4.8,5,星期一: 11:00 – 20:00 | 星期二: 11:00 – 20:00 | 星期三: 11:00 – 20:00 | 星期四: 11:00 – 20:00 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00,5,桃園市,桃園區,美容
瑪尼寵物沙龍,320台灣桃園市中壢區領航南路一段170號,03 498 0840,https://zh-tw.facebook.com/MoneyPetSalon/,5,41,星期一: 11:00 – 20:00 | 星期二: 11:00 – 20:00 | 星期三: 11:00 – 20:00 | 星期四: 11:00 – 20:00 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00,5,桃園市,桃園區,美容
狗蕾咪（Dog Re Mi)寵物沙龍,334台灣桃園市八德區和平路19號,03 366 0071,https://www.facebook.com/186580638413154/,4.9,39,星期一: 休息 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,5,桃園市,桃園區,美容
好好寵物沙龍,330台灣桃園市桃園區延平路74號,03 218 0308,https://m.facebook.com/haohaosalon/,4.6,19,星期一: 10:00 – 18:00 | 星期二: 10:00 – 18:00 | 星期三: 10:00 – 18:00 | 星期四: 休息 | 星期五: 休息 | 星期六: 10:00 – 18:00 | 星期日: 休息,5,桃園市,桃園區,美容
寵貝比寵物沙龍,330台灣桃園市桃園區大業路二段137號,03 357 8210,https://www.facebook.com/petpetbaby/,4.1,11,星期一: 10:00 – 19:00 | 星期二: 10:00 – 18:30 | 星期三: 休息 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 休息,5,桃園市,桃園區,美容
