店名,地址,電話,網站,評分,評分數量,營業時間,寄宿可能性,城市,區域,類型
Let’s Go 樂洗狗寵物美容,103台灣台北市大同區華亭街57號1樓,02 2556 9639,https://www.facebook.com/letsgopet2019/,4.8,54,星期一: 09:30 – 18:30 | 星期二: 09:30 – 18:30 | 星期三: 09:30 – 18:30 | 星期四: 09:30 – 18:30 | 星期五: 09:30 – 18:30 | 星期六: 09:30 – 18:30 | 星期日: 09:30 – 18:30,5,台北市,中正區,美容
溫家寵物美容,108台灣台北市萬華區洛陽街23號,0927 046 918,https://lin.ee/Gl0Nkjx,5,71,星期一: 休息 | 星期二: 11:00 – 20:00 | 星期三: 11:00 – 20:00 | 星期四: 11:00 – 20:00 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00,5,台北市,中正區,美容
毛日子寵物美容精品,10491台灣台北市中山區遼寧街45巷36號,02 2778 3139,http://www.furday.com/,4.9,292,星期一: 10:00 – 20:30 | 星期二: 10:00 – 20:30 | 星期三: 10:00 – 20:30 | 星期四: 10:00 – 20:30 | 星期五: 10:30 – 20:30 | 星期六: 10:30 – 20:30 | 星期日: 10:30 – 20:30,5,台北市,中正區,美容
PetVida 薇達寵物精品沙龍 펫비다,10492台灣台北市中山區長安東路二段220號,02 2777 3330,https://www.facebook.com/petvida.tw/,4.9,445,星期一: 10:30 – 19:00 | 星期二: 10:30 – 19:00 | 星期三: 10:30 – 19:00 | 星期四: 10:30 – 19:00 | 星期五: 10:30 – 19:00 | 星期六: 10:30 – 19:00 | 星期日: 10:30 – 19:00,5,台北市,中正區,美容
寵愛之綴寵物美容工作坊,106台灣台北市大安區潮州街143號一樓,02 3322 3272,https://www.facebook.com/profile.php?id=100095344064809&mibextid=ZbWKwL,5,6,星期一: 09:00 – 20:00 | 星期二: 09:00 – 20:00 | 星期三: 09:00 – 20:00 | 星期四: 09:00 – 20:00 | 星期五: 09:00 – 20:00 | 星期六: 09:00 – 20:00 | 星期日: 休息,5,台北市,中正區,美容
寵物森林-貓狗美容澡堂,108台灣台北市萬華區中華路二段312號,02 2309 0808,http://www.facebook.com/dogcatforest,4.3,61,星期一: 10:30 – 19:30 | 星期二: 休息 | 星期三: 10:30 – 19:30 | 星期四: 10:30 – 19:30 | 星期五: 10:30 – 19:30 | 星期六: 10:30 – 19:30 | 星期日: 10:30 – 19:30,5,台北市,中正區,美容
沐月寵物美容工作室,"1 樓, No. 17號雙連街39巷大同區台北市台灣 103",02 2557 9729,https://www.instagram.com/muyuemoon0301?igsh=emN3enZpb3Y0amx2&utm_source=qr,5,43,星期一: 10:30 – 19:00 | 星期二: 休息 | 星期三: 休息 | 星期四: 10:30 – 19:00 | 星期五: 10:30 – 19:00 | 星期六: 10:30 – 19:00 | 星期日: 10:30 – 19:00,5,台北市,中正區,美容
狗樂子寵物沙龍,10658台灣台北市大安區信義路三段128號2樓,02 2701 9969,https://gofun.taipei/,4.9,93,星期一: 11:00 – 20:00 | 星期二: 11:00 – 20:00 | 星期三: 休息 | 星期四: 11:00 – 20:00 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00,5,台北市,中正區,美容
毛尾巴寵物美容旅店 Furry Tail Pet Salon & Hotel,106台灣台北市大安區大安路一段205號,02 2700 0300,https://www.furrytailpetsalonhotel.com/,4.9,172,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 休息 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,5,台北市,中正區,美容
MISO PET SALON米搜寵物 美容/SPA/選品,106台灣台北市大安區信義路三段109之1號1、2樓,02 2704 8448,https://www.misopetsalon.com/products,4.8,38,星期一: 休息 | 星期二: 12:00 – 17:00 | 星期三: 11:00 – 19:00 | 星期四: 11:00 – 19:00 | 星期五: 11:00 – 19:00 | 星期六: 11:00 – 19:00 | 星期日: 11:00 – 19:00,5,台北市,中正區,美容
洗寶貝寵物美容 아기 애완동물을 씻겨주세요,103台灣台北市大同區重慶北路三段75號,02 2599 4282,https://www.facebook.com/cbabypetsalon/,4.9,148,星期一: 10:00 – 21:00 | 星期二: 10:00 – 21:00 | 星期三: 10:00 – 21:00 | 星期四: 10:00 – 21:00 | 星期五: 10:00 – 21:00 | 星期六: 10:00 – 20:00 | 星期日: 休息,5,台北市,中正區,美容
好朋友寵物沙龍,108台灣台北市萬華區南寧路45號,0906 103 769,,4.6,48,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 休息,5,台北市,中正區,美容
夢露寵物美容Line:@724xiiux請線上預約詢問,103台灣台北市大同區承德路一段83號1樓,02 2559 6369,,5,36,星期一: 休息 | 星期二: 11:00 – 19:00 | 星期三: 11:00 – 19:00 | 星期四: 11:00 – 19:00 | 星期五: 11:00 – 19:00 | 星期六: 11:00 – 19:00 | 星期日: 11:00 – 19:00,5,台北市,中正區,美容
狗狗日常寵物旅館/寵物旅館/寵物美容/寵物自助洗/狗安親/狗住宿,116台灣台北市文山區羅斯福路六段85號,0982 920 852,http://facebook.com/ddl.pethotel,4.7,138,星期一: 10:30 – 19:00 | 星期二: 10:30 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:30 – 19:00 | 星期五: 10:30 – 19:00 | 星期六: 10:30 – 19:00 | 星期日: 10:30 – 19:00,5,台北市,中正區,美容
OOCO寵物美容（純手吹、不關籠）,106台灣台北市大安區建國南路二段157號,0958 034 077,https://www.facebook.com/oocogrooming/,5,20,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 休息 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,5,台北市,中正區,美容
Pet-Shion玩美小獸沙龍(預約優先制),10491台灣台北市中山區新生北路三段69號,0902 267 831,https://www.facebook.com/profile.php?id=61550872687036,5,21,星期一: 休息 | 星期二: 休息 | 星期三: 11:00 – 21:00 | 星期四: 11:00 – 21:00 | 星期五: 11:00 – 21:00 | 星期六: 11:00 – 21:00 | 星期日: 11:00 – 21:00,5,台北市,中正區,美容
D&Y 寵物美容時尚旅店,10491台灣台北市中山區中山北路三段55巷22號,02 2592 3252,,4.7,287,星期一: 08:00 – 22:00 | 星期二: 08:00 – 22:00 | 星期三: 08:00 – 22:00 | 星期四: 08:00 – 22:00 | 星期五: 08:00 – 22:00 | 星期六: 08:00 – 22:00 | 星期日: 08:00 – 22:00,5,台北市,中正區,美容
群家寵物沙龍,10491台灣台北市中山區新生北路二段129號,02 2506 7760,https://www.facebook.com/happy8379/,4.6,48,星期一: 11:00 – 20:00 | 星期二: 休息 | 星期三: 休息 | 星期四: 11:00 – 20:00 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00,5,台北市,中正區,美容
毛空間Pet Space精緻寵物美容-大同區(寵物美容，大稲程寵物店，狗狗洗澡，大稲程寵物美容，精緻寵物美容，寵物SPA，貓咪洗澡),103台灣台北市大同區民權西路300-3號,0983 524 299,https://liff.line.me/1645278921-kWRPP32q/?accountId=692jjkwf,4.9,36,星期一: 休息 | 星期二: 11:00 – 20:00 | 星期三: 11:00 – 20:00 | 星期四: 11:00 – 20:00 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00,5,台北市,中正區,美容
阿貓阿狗洗浴概念店/寵物美容/寵物洗澡/皮毛調理,108台灣台北市萬華區西藏路197號,02 2301 9906,https://www.facebook.com/acatadog.com.tw/,4.6,96,星期一: 11:00 – 20:00 | 星期二: 11:00 – 20:00 | 星期三: 11:00 – 20:00 | 星期四: 休息 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00,5,台北市,中正區,美容
犬村寵物美容,108台灣台北市萬華區長泰街109號,,https://www.tiktok.com/@qq29949,5,15,星期一: 10:00 – 18:00 | 星期二: 10:00 – 18:00 | 星期三: 10:00 – 18:00 | 星期四: 10:00 – 18:00 | 星期五: 10:00 – 18:00 | 星期六: 10:00 – 18:00 | 星期日: 休息,5,台北市,中正區,美容
PetVida The Cat 薇達貓咪專屬精品沙龍 펫비다 더캣,10491台灣台北市中山區長安東路二段228號,02 2777 3337,http://heylink.me/PetVida.Cat,5,288,星期一: 10:30 – 19:00 | 星期二: 10:30 – 19:00 | 星期三: 10:30 – 19:00 | 星期四: 10:30 – 19:00 | 星期五: 10:30 – 19:00 | 星期六: 10:30 – 19:00 | 星期日: 10:30 – 19:00,5,台北市,中正區,美容
爪子精緻寵物沙龍,10491台灣台北市中山區長春路3巷11弄3號,02 2567 2581,https://lobtt1967.wixsite.com/petsalon,4.9,69,星期一: 12:00 – 21:00 | 星期二: 12:00 – 21:00 | 星期三: 12:00 – 21:00 | 星期四: 12:00 – 21:00 | 星期五: 12:00 – 21:00 | 星期六: 12:00 – 21:00 | 星期日: 12:00 – 21:00,5,台北市,中正區,美容
米香尼寵物美容,10491台灣台北市中山區中山北路二段59巷3弄7號中安公園旁,02 2581 2812,https://www.facebook.com/MS.MissShiny/,5,42,星期一: 休息 | 星期二: 11:00 – 19:00 | 星期三: 11:00 – 19:00 | 星期四: 11:00 – 19:00 | 星期五: 11:00 – 19:00 | 星期六: 11:00 – 20:00 | 星期日: 休息,5,台北市,中正區,美容
Miss & Dog 寵物美容/寵物造型沙龍,104台灣台北市中山區中原街103-4號,0917 255 502,,5,14,星期一: 01:00 – 18:00 | 星期二: 10:00 – 18:00 | 星期三: 10:00 – 18:00 | 星期四: 10:00 – 18:00 | 星期五: 10:00 – 18:00 | 星期六: 10:00 – 18:00 | 星期日: 休息,5,台北市,中正區,美容
Sunny寵物美容、寵物美坊,106台灣台北市大安區復興南路一段295巷11號,02 2703 8893,https://lin.ee/5er4Udl,5,163,星期一: 10:30 – 19:30 | 星期二: 10:30 – 19:30 | 星期三: 10:30 – 19:30 | 星期四: 10:30 – 19:30 | 星期五: 10:30 – 19:30 | 星期六: 10:30 – 19:30 | 星期日: 休息,5,台北市,中正區,美容
唯依寵物美學沙龍 Wei E pet salon,106台灣台北市大安區基隆路二段162-4號,0966 413 330,https://lin.ee/h2bG9Q7,5,120,星期一: 休息 | 星期二: 11:00 – 19:00 | 星期三: 11:00 – 19:00 | 星期四: 11:00 – 19:00 | 星期五: 休息 | 星期六: 11:00 – 19:00 | 星期日: 11:00 – 19:00,5,台北市,中正區,美容
金寶貝寵物美容,106台灣台北市大安區信義路四段53巷15號,0989 175 667,,4.9,66,星期一: 11:00 – 19:00 | 星期二: 休息 | 星期三: 11:00 – 19:00 | 星期四: 11:00 – 19:00 | 星期五: 11:00 – 19:00 | 星期六: 11:00 – 19:00 | 星期日: 11:00 – 19:00,5,台北市,中正區,美容
哈利寵物精緻美容,10491台灣台北市中山區林森北路643號,02 2598 1861,https://www.facebook.com/HaLiPetSalon/,4.8,81,星期一: 11:00 – 21:00 | 星期二: 11:00 – 21:00 | 星期三: 11:00 – 21:00 | 星期四: 休息 | 星期五: 11:00 – 21:00 | 星期六: 11:00 – 21:00 | 星期日: 11:00 – 21:00,5,台北市,中正區,美容
狗尾草Furtail寵物美容｜動物醫院｜信義大安文山區,110台灣台北市信義區和平東路三段361號,02 2732 8636,https://www.furtail.com.tw/,4.9,358,星期一: 11:00 – 19:00 | 星期二: 休息 | 星期三: 休息 | 星期四: 11:00 – 19:00 | 星期五: 11:00 – 19:00 | 星期六: 11:00 – 19:00 | 星期日: 11:00 – 19:00,5,台北市,中正區,美容
Luby Pet Spa 路比寵物美容,110台灣台北市信義區仁愛路四段468號,02 2720 1777,http://lubypetspa.com.tw/,4.8,288,星期一: 休息 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,5,台北市,中正區,美容
九都專業寵物美容精剪,10491台灣台北市中山區八德路二段300巷52號,02 8773 6646,,5,33,星期一: 11:00 – 18:00 | 星期二: 11:00 – 18:00 | 星期三: 11:00 – 18:00 | 星期四: 11:00 – 18:00 | 星期五: 11:00 – 18:00 | 星期六: 11:00 – 18:00 | 星期日: 休息,5,台北市,中正區,美容
喜悅愛犬美容屋,108台灣台北市萬華區貴陽街二段164巷6-1號,02 2375 6819,https://www.facebook.com/JOYFULPETGROOMINGSERVICE01/,4.3,23,星期一: 09:00 – 17:30 | 星期二: 09:00 – 17:30 | 星期三: 09:00 – 17:30 | 星期四: 09:00 – 17:30 | 星期五: 09:00 – 17:30 | 星期六: 09:00 – 17:30 | 星期日: 休息,4,台北市,中正區,美容
澡安寵物洗澡所,100台灣台北市中正區杭州南路二段102號,02 3343 3677,,4.9,25,星期一: 10:00 – 18:00 | 星期二: 10:00 – 18:00 | 星期三: 休息 | 星期四: 10:00 – 18:00 | 星期五: 10:00 – 18:00 | 星期六: 10:00 – 18:00 | 星期日: 休息,2,台北市,中正區,美容
吃手手寵物精品旅館The Paw Pet Hotel,100台灣台北市中正區濟南路二段35-1號1樓,02 2322 2020,https://thepaw.com.tw/,4.9,87,星期一: 08:00 – 22:00 | 星期二: 08:00 – 22:00 | 星期三: 08:00 – 22:00 | 星期四: 08:00 – 22:00 | 星期五: 08:00 – 22:00 | 星期六: 08:00 – 22:00 | 星期日: 08:00 – 22:00,2,台北市,中正區,美容
WSPA寵物旅館,100台灣台北市中正区罗斯福路三段139號1F,02 2367 5899,https://www.facebook.com/profile.php?id=100087392181167,4.5,122,星期一: 09:00 – 20:00 | 星期二: 09:00 – 20:00 | 星期三: 09:00 – 20:00 | 星期四: 09:00 – 20:00 | 星期五: 09:00 – 20:00 | 星期六: 09:00 – 20:00 | 星期日: 09:00 – 20:00,2,台北市,中正區,美容
逗格斯寵物澡堂,100台灣台北市中正區重慶南路三段143號,02 2332 0066,http://www.facebook.com/DogsCut,4.6,28,星期一: 休息 | 星期二: 10:00 – 18:00 | 星期三: 10:00 – 18:00 | 星期四: 10:00 – 18:00 | 星期五: 10:00 – 18:00 | 星期六: 10:00 – 18:00 | 星期日: 休息,2,台北市,中正區,美容
狗貓貓寵物店,100台灣台北市中正區中華路二段375號,02 2332 0149,https://www.facebook.com/gri7086/,4.5,43,星期一: 10:00 – 21:00 | 星期二: 10:00 – 21:00 | 星期三: 10:00 – 21:00 | 星期四: 10:00 – 21:00 | 星期五: 10:00 – 21:00 | 星期六: 10:00 – 22:00 | 星期日: 休息,2,台北市,中正區,美容
小純寵物生活館,100台灣台北市中正區辛亥路一段41號,02 2365 5368,,4.5,44,星期一: 10:00 – 20:30 | 星期二: 休息 | 星期三: 10:00 – 20:30 | 星期四: 10:00 – 20:30 | 星期五: 10:00 – 20:30 | 星期六: 10:00 – 20:30 | 星期日: 10:00 – 20:30,2,台北市,中正區,美容
開心果寵物工作坊,100台灣台北市中正區和平西路一段155號,02 2337 7189,,3.7,30,星期一: 10:30 – 21:00 | 星期二: 休息 | 星期三: 10:30 – 21:00 | 星期四: 10:30 – 21:00 | 星期五: 10:30 – 21:00 | 星期六: 10:30 – 21:00 | 星期日: 10:30 – 21:00,2,台北市,中正區,美容
甜蜜狗窩寵物用品店,100台灣台北市中正區汀州路一段256號,02 2332 2467,,4.3,19,星期一: 10:00 – 18:00 | 星期二: 10:00 – 18:00 | 星期三: 10:00 – 18:00 | 星期四: 休息 | 星期五: 休息 | 星期六: 休息 | 星期日: 休息,2,台北市,中正區,美容
東京剪狗,108台灣台北市萬華區萬大路53號,02 2336 1279,,4.6,27,星期一: 11:00 – 18:00 | 星期二: 11:00 – 18:00 | 星期三: 11:00 – 18:00 | 星期四: 休息 | 星期五: 11:00 – 18:00 | 星期六: 11:00 – 18:00 | 星期日: 11:00 – 18:00,2,台北市,中正區,美容
貓狗同萌寵物沙龍,"號 B1, No. 138新生北路一段中山區台北市台灣 10491",0926 438 287,https://m.facebook.com/%E8%B2%93%E7%8B%97%E5%90%8C%E8%90%8C%E5%AF%B5%E7%89%A9%E6%B2%99%E9%BE%8D-558923550951103,4,4,星期一: 11:00 – 19:30 | 星期二: 11:00 – 19:30 | 星期三: 休息 | 星期四: 11:00 – 19:30 | 星期五: 11:00 – 19:30 | 星期六: 11:00 – 19:30 | 星期日: 11:00 – 19:30,5,台北市,中正區,美容
凱撒寵物沙龍,116台灣台北市文山區興隆路二段220巷5號,02 2930 5881,,4.4,30,星期一: 休息 | 星期二: 休息 | 星期三: 11:00 – 20:00 | 星期四: 11:00 – 20:00 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00,5,台北市,中正區,美容
高尾寵物沙龍 타카오펫 Takao Pet Salon 預約制,10374台灣台北市大同區重慶北路三段250-2號,0985 082 787,https://line.me/ti/p/96jp_ifVCm,5,35,星期一: 10:00 – 19:30 | 星期二: 10:00 – 19:30 | 星期三: 10:00 – 19:30 | 星期四: 10:00 – 19:30 | 星期五: 10:00 – 19:30 | 星期六: 10:00 – 19:30 | 星期日: 10:00 – 19:30,5,台北市,中正區,美容
1+1寵物沙龍,116台灣台北市文山區興隆路二段96巷15號,0932 117 069,https://www.facebook.com/11%E5%AF%B5%E7%89%A9%E6%B2%99%E9%BE%8D-103209345597549,4.8,38,"星期一: 10:00 – 00:00 | 星期二: 00:00 – 07:00, 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00",5,台北市,中正區,美容
幸福A+寵物沙龍,110台灣台北市信義區和平東路三段283號,02 8732 5088,https://www.happinessapluspetschool.com/,5,55,星期一: 休息 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 休息,5,台北市,中正區,美容
黛希寵物美容沙龍,116台灣台北市文山区景华街18號1樓,02 8931 9906,https://www.facebook.com/DaisyPetSalon/,4.8,71,星期一: 10:30 – 20:30 | 星期二: 10:30 – 20:30 | 星期三: 休息 | 星期四: 10:30 – 20:30 | 星期五: 10:30 – 20:30 | 星期六: 10:30 – 20:30 | 星期日: 10:30 – 20:30,5,台北市,中正區,美容
MuLuMuLu.Pet姆嚕姆嚕寵物沙龍,105台灣台北市松山區八德路三段12巷51弄37號,02 2570 6859,https://m.facebook.com/MuluMulu.Pet.Salon/,4.7,39,星期一: 休息 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 休息,5,台北市,中正區,美容
小雅寵物沙龍,106台灣台北市大安區建國南路二段11巷1號,02 2701 7511,,2.5,81,,5,台北市,中正區,美容
DYNASTY朝代狗狗沙龍&安親照護-狗狗美容|老犬照護|一對一服務|純手吹服務|台北大安區|六張犁捷運站,106033台灣台北市大安區基隆路二段232號,0910 198 875,https://www.instagram.com/dynastycorporation2024/,5,27,星期一: 09:30 – 19:00 | 星期二: 09:30 – 19:00 | 星期三: 09:30 – 19:00 | 星期四: 09:30 – 19:00 | 星期五: 09:30 – 19:00 | 星期六: 09:30 – 19:00 | 星期日: 09:30 – 19:00,5,台北市,中正區,美容
皇后愛犬美容沙龍,10491台灣台北市中山區新生北路二段77巷9號,02 2563 3415,,5,8,星期一: 09:30 – 19:30 | 星期二: 09:30 – 19:30 | 星期三: 09:30 – 19:30 | 星期四: 09:30 – 19:30 | 星期五: 09:30 – 19:30 | 星期六: 09:30 – 18:00 | 星期日: 休息,4,台北市,中正區,美容
KOMI可米寵物美容,103台灣台北市大同區蘭州街56號1 樓,02 2599 6956,https://m.facebook.com/people/%E5%8F%AF%E7%B1%B3%E5%AF%B5%E7%89%A9%E7%B2%BE%E7%B7%BB%E6%B2%99%E9%BE%8D/100063922276790/,5,22,星期一: 11:00 – 20:00 | 星期二: 11:00 – 20:00 | 星期三: 11:00 – 19:00 | 星期四: 休息 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 19:00,5,台北市,大同區,美容
城市貓旅 City Cat 貓旅館/純貓美容,103台灣台北市大同區長安西路254號2樓,02 2552 7056,http://www.cathotel.tw/,4.8,256,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,5,台北市,大同區,美容
24h寵物寄宿/過年有空/到府美容/到府獸醫/到府照護/貓狗保姆/寵物旅館/毛小愛下單保障雙方,103台灣台北市大同區五原路19號,,,5,12,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,5,台北市,大同區,美容
胖宅寵物美容,11170台灣台北市士林區後港街129號,02 2883 9671,https://www.facebook.com/chubbyhommie2022,4.9,46,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 休息,5,台北市,大同區,美容
Go澡堂寵物美容,10460台灣台北市中山區林森北路629巷1號,02 2599 7658,http://facebook.com/gowashhouse,4.3,57,星期一: 11:00 – 20:00 | 星期二: 11:00 – 20:00 | 星期三: 11:00 – 20:00 | 星期四: 11:00 – 20:00 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 休息,5,台北市,大同區,美容
犬居寵物沙龍,111台灣台北市士林區後港街162巷6號,0972 750 365,https://www.facebook.com/%E7%8A%AC%E5%B1%85%E5%AF%B5%E7%89%A9%E6%B2%99%E9%BE%8D-218833341581111/,5,23,星期一: 休息 | 星期二: 12:00 – 19:00 | 星期三: 12:00 – 19:00 | 星期四: 12:00 – 19:00 | 星期五: 12:00 – 19:00 | 星期六: 12:00 – 18:00 | 星期日: 休息,5,台北市,大同區,美容
吳星慧 寵物美容spa館,"53之8號, 中山北路三段中山區台北市台灣 10461",02 2599 1549,https://www.facebook.com/wu88888/,4.8,18,星期一: 10:00 – 19:30 | 星期二: 10:00 – 19:30 | 星期三: 休息 | 星期四: 10:00 – 19:30 | 星期五: 10:00 – 19:30 | 星期六: 10:00 – 19:30 | 星期日: 10:00 – 19:30,5,台北市,大同區,美容
貝多芬寵物專業造型美容,10491台灣台北市中山區長安東路一段39-2號號,02 2551 2948,,4.3,14,星期一: 10:00 – 18:00 | 星期二: 10:00 – 18:00 | 星期三: 10:00 – 18:00 | 星期四: 10:00 – 18:00 | 星期五: 10:00 – 18:00 | 星期六: 10:00 – 18:00 | 星期日: 12:00 – 18:00,5,台北市,大同區,美容
570寵物美容,111台灣台北市士林區承德路四段40巷10號,02 2885 6217,,3.8,5,星期一: 12:00 – 21:30 | 星期二: 12:00 – 21:30 | 星期三: 12:00 – 21:30 | 星期四: 12:00 – 21:30 | 星期五: 12:00 – 21:30 | 星期六: 12:00 – 21:30 | 星期日: 休息,5,台北市,大同區,美容
Bubble Pets 寵物泡泡美容,10491台灣台北市中山區中原街29-2號,02 2542 1700,,5,1,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 休息 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,5,台北市,大同區,美容
