店名,網站,地址,電話,營業時間,評分,評分數量,城市,區域,接受狗,接受貓,接受小型犬,接受中型犬,接受大型犬,接受兔子,接受倉鼠,接受鳥類,接受爬蟲類,接受其他小動物,支援寵物類型
D&Y 寵物美容時尚旅店,,10491台灣台北市中山區中山北路三段55巷22號,02 2592 3252,星期一: 08:00 – 22:00 | 星期二: 08:00 – 22:00 | 星期三: 08:00 – 22:00 | 星期四: 08:00 – 22:00 | 星期五: 08:00 – 22:00 | 星期六: 08:00 – 22:00 | 星期日: 08:00 – 22:00,4.7,287.0,台北市,中正區,False,False,False,False,False,False,False,False,False,False,未明確說明
嗷嗚寵物旅館,https://auwoodogshotel.weebly.com/,104台灣台北市中山區新生北路三段84巷25號1樓,,,4.9,19.0,台北市,中正區,False,False,False,False,False,False,False,False,False,False,未明確說明
GuGu House 寵物旅館,http://guguhouse.com/,10462台灣台北市中山區敬業一路160號,02 8502 1008,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,4.7,70.0,台北市,中正區,False,False,False,False,False,False,False,False,False,False,未明確說明
新北市 板橋 澎澎寵物旅館,https://m.facebook.com/pongpong168/,22052台灣新北市板橋區新生街29巷15弄2號1樓,0926 876 651,星期一: 11:00 – 20:30 | 星期二: 11:00 – 20:30 | 星期三: 11:00 – 20:30 | 星期四: 11:00 – 20:30 | 星期五: 11:00 – 20:30 | 星期六: 11:00 – 20:30 | 星期日: 11:00 – 20:30,4.9,374.0,台北市,中正區,False,False,False,False,False,False,False,False,False,False,未明確說明
3天2夜寵物旅館、美容Spa,,104台灣台北市中山區樂群三路73號2樓,02 8501 5649,星期一: 08:00 – 19:00 | 星期二: 08:00 – 19:00 | 星期三: 08:00 – 19:00 | 星期四: 08:00 – 19:00 | 星期五: 08:00 – 19:00 | 星期六: 08:00 – 19:00 | 星期日: 08:00 – 19:00,4.4,45.0,台北市,大同區,False,False,False,False,False,False,False,False,False,False,未明確說明
星沐精緻寵物美容-住宿安親|一對一|純手吹無烘箱|皮毛調理SPA|預約|台北松山區|松山機場,https://www.facebook.com/profile.php?id=100089192907262&mibextid=LQQJ4d,105台灣台北市松山區民權東路三段156號,02 2712 7709,星期一: 11:00 – 20:00 | 星期二: 11:00 – 20:00 | 星期三: 休息 | 星期四: 11:00 – 20:00 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00,5.0,71.0,台北市,中山區,False,False,False,False,False,False,False,False,False,False,未明確說明
洛芙寵物旅館 Loft Dog Hotel,https://m.facebook.com/loftdoghotel/,241台灣新北市三重區吉祥街6號,02 2857 7276,星期一: 09:00 – 21:00 | 星期二: 09:00 – 21:00 | 星期三: 09:00 – 21:00 | 星期四: 09:00 – 21:00 | 星期五: 09:00 – 21:00 | 星期六: 09:00 – 21:00 | 星期日: 09:00 – 21:00,4.5,87.0,台北市,大同區,False,False,False,False,False,False,False,False,False,False,未明確說明
一簍毛YiLouMao 小動物按摩 安親住宿 夜間保姆,https://instagram.com/yiloumao?igshid=YzcxN2Q2NzY0OA==,111台灣台北市士林區天母西路No. 3號5樓,,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,5.0,25.0,台北市,大同區,False,False,False,False,False,False,False,False,False,False,未明確說明
日夜寵物照顧/好溝通好配合/寵物旅館預約/陪同就醫/加line諮詢毛小愛平台下單諮詢,https://fluv.com/,115台灣台北市南港區八德路四段925號,,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,5.0,20.0,台北市,中山區,False,False,False,False,False,False,False,False,False,False,未明確說明
翻肚肚澡堂（寵物美容／住宿／安親）,https://www.facebook.com/profile.php?id=61558756547505,105台灣台北市松山區民生東路五段202-1號,02 2765 8131,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 19:00,5.0,12.0,台北市,松山區,False,False,False,False,False,False,False,False,False,False,未明確說明
Tiere堤柇 寵物住宿/寵物SPA,https://zh-tw.facebook.com/tiere.pethotel/,220台灣新北市板橋區文聖街194號1F,02 2250 1377,星期一: 09:00 – 21:00 | 星期二: 09:00 – 21:00 | 星期三: 09:00 – 21:00 | 星期四: 09:00 – 21:00 | 星期五: 09:00 – 21:00 | 星期六: 09:00 – 21:00 | 星期日: 09:00 – 21:00,4.6,252.0,台北市,萬華區,False,False,False,False,False,False,False,False,False,False,未明確說明
Pet 伴寵物旅舍,https://www.facebook.com/pg/Pet-%E4%BC%B4-%E5%AF%B5%E7%89%A9%E6%97%85%E8%88%8D-%E6%96%B0%E5%8C%97%E7%89%B9%E5%AF%B5584%E8%99%9F-1901709803430302/about/?ref=page_internal,235台灣新北市中和區員山路483號,02 2228 6909,星期一: 11:00 – 20:00 | 星期二: 11:00 – 20:00 | 星期三: 休息 | 星期四: 11:00 – 20:00 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00,4.8,32.0,台北市,萬華區,False,False,False,False,False,False,False,False,False,False,未明確說明
Dora朵菈寵物旅館,https://www.facebook.com/dora.pets.life,24250台灣新北市新莊區思源路166巷41號,02 2279 9891,星期一: 11:00 – 21:00 | 星期二: 11:00 – 21:00 | 星期三: 休息 | 星期四: 11:00 – 21:00 | 星期五: 11:00 – 21:00 | 星期六: 休息 | 星期日: 11:00 – 21:00,4.9,26.0,台北市,萬華區,False,False,False,False,False,False,False,False,False,False,未明確說明
Go house寵物旅館,https://lin.ee/i65aA6p,220台灣新北市板橋區仁化街42巷5弄1號,,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 休息 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00,5.0,7.0,台北市,萬華區,False,False,False,False,False,False,False,False,False,False,未明確說明
花襪子的家寵物旅館,,111台灣台北市士林區天母北路38號,02 2871 9019,,4.0,29.0,台北市,士林區,False,False,False,False,False,False,False,False,False,False,未明確說明
巴帝寵物旅店 BUDDY dog hotel & salon,https://www.facebook.com/BUDDY.TAIPEI/,220台灣新北市板橋區文化路一段136巷10號,,星期一: 09:30 – 21:00 | 星期二: 09:30 – 21:00 | 星期三: 09:30 – 21:00 | 星期四: 09:30 – 21:00 | 星期五: 09:30 – 21:00 | 星期六: 09:30 – 21:00 | 星期日: 09:30 – 21:00,4.4,55.0,台北市,萬華區,False,False,False,False,False,False,False,False,False,False,未明確說明
樂牧寵物旅館,https://www.facebook.com/lovemu668107,242台灣新北市新莊區建興街20號,0981 668 107,星期一: 11:00 – 21:00 | 星期二: 11:00 – 21:00 | 星期三: 11:00 – 21:00 | 星期四: 11:00 – 21:00 | 星期五: 11:00 – 21:00 | 星期六: 11:00 – 21:00 | 星期日: 11:00 – 21:00,5.0,135.0,台北市,萬華區,False,False,False,False,False,False,False,False,False,False,未明確說明
寵物有珈spa旅館,https://www.facebook.com/Pet.SPA.Hotel.0958246789/,247台灣新北市蘆洲區集賢路224巷39-1號1樓,0958 246 789,星期一: 10:00 – 18:30 | 星期二: 10:00 – 18:30 | 星期三: 休息 | 星期四: 休息 | 星期五: 10:00 – 18:30 | 星期六: 10:00 – 18:30 | 星期日: 10:00 – 18:30,5.0,243.0,台北市,士林區,False,False,False,False,False,False,False,False,False,False,未明確說明
LIKE 寵物旅館,https://www.facebook.com/share/1BZX9YqZ6h/,247台灣新北市蘆洲區三民路593號1樓,02 8283 2222,星期一: 10:00 – 21:00 | 星期二: 10:00 – 21:00 | 星期三: 10:00 – 21:00 | 星期四: 10:00 – 21:00 | 星期五: 10:00 – 21:00 | 星期六: 10:00 – 21:00 | 星期日: 10:00 – 21:00,4.7,77.0,台北市,士林區,False,False,False,False,False,False,False,False,False,False,未明確說明
Peace Pet Salon 寵物美容.安親.住宿,https://www.instagram.com/peacepetsalon/,111台灣台北市士林區天母東路50巷20-2號,02 2876 3325,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 休息,4.9,145.0,台北市,士林區,False,False,False,False,False,False,False,False,False,False,未明確說明
毛小愛24hr寵物旅館/寵物保姆/一對一不關籠居家客製化寵物照顧/過年不加價,https://lin.ee/W8Z6Yfk,111台灣台北市士林區天母西路22巷23號,0908 708 372,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,4.8,20.0,台北市,士林區,False,False,False,False,False,False,False,False,False,False,未明確說明
米屋寵物美容（寵物沙龍、寵物旅館、寵物造型修剪、寵物用品、寵物皮膚調理）專門店,https://www.facebook.com/104353514520120/,112台灣台北市北投區北投路二段19號,02 2894 3635,星期一: 11:00 – 20:00 | 星期二: 11:00 – 20:00 | 星期三: 休息 | 星期四: 休息 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00,4.6,19.0,台北市,士林區,False,False,False,False,False,False,False,False,False,False,未明確說明
好運吧精緻寵物旅店,https://www.facebook.com/%E5%A5%BD%E9%81%8B%E5%90%A7%E7%B2%BE%E7%B7%BB%E5%AF%B5%E7%89%A9%E6%97%85%E5%BA%97-256259661072981/,251台灣新北市淡水區大仁街33號1樓,0938 670 204,星期一: 12:00 – 20:00 | 星期二: 12:00 – 20:00 | 星期三: 12:00 – 20:00 | 星期四: 12:00 – 20:00 | 星期五: 12:00 – 20:00 | 星期六: 12:00 – 20:00 | 星期日: 12:00 – 20:00,4.9,100.0,台北市,士林區,False,False,False,False,False,False,False,False,False,False,未明確說明
伴伴寵物美容・安親・住宿,https://lin.ee/3bTjrGi,112台灣台北市北投區中正街68號1樓,0963 221 298,星期一: 休息 | 星期二: 休息 | 星期三: 11:00 – 20:00 | 星期四: 11:00 – 20:00 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00,5.0,83.0,台北市,士林區,False,False,False,False,False,False,False,False,False,False,未明確說明
好好寵物旅館,https://instagram.com/haohaopet?utm_medium=copy_link,24251台灣新北市新莊區中央路108號,02 8521 6883,星期一: 08:00 – 21:00 | 星期二: 08:00 – 21:00 | 星期三: 08:00 – 21:00 | 星期四: 08:00 – 21:00 | 星期五: 08:00 – 21:00 | 星期六: 08:00 – 21:00 | 星期日: 08:00 – 21:00,4.9,152.0,台北市,士林區,False,False,False,False,False,False,False,False,False,False,未明確說明
寵物旅館Pets Hotel,,112台灣台北市北投區清江路113巷,0901 039 686,,,,台北市,北投區,False,False,False,False,False,False,False,False,False,False,未明確說明
寵樂寵物旅館,https://page.line.me/936axmtd%20%20%20%ED%A0%BD%ED%B0%BE%ED%A0%B5%ED%B0%88%ED%A0%B5%ED%B0%A7%ED%A0%B5%ED%B0%AC%ED%A0%B5%ED%B0%AD%ED%A0%B5%ED%B0%9A%ED%A0%B5%ED%B0%A0%ED%A0%B5%ED%B0%AB%ED%A0%B5%ED%B0%9A%ED%A0%B5%ED%B0%A6:%20https://instagram.com/pet_happy75?igshid=NzZlODBkYWE4Ng==,247台灣新北市蘆洲區永樂街75號,02 2848 8189,星期一: 12:00 – 21:00 | 星期二: 12:00 – 21:00 | 星期三: 12:00 – 21:00 | 星期四: 12:00 – 21:00 | 星期五: 12:00 – 21:00 | 星期六: 12:00 – 21:00 | 星期日: 12:00 – 21:00,4.9,43.0,台北市,北投區,False,False,False,False,False,False,False,False,False,False,未明確說明
醬心寵物旅行館,https://lin.ee/pB6Tzky,247台灣新北市蘆洲區光復路70巷6號1樓,0952 162 733,星期一: 11:00 – 19:00 | 星期二: 休息 | 星期三: 休息 | 星期四: 11:00 – 19:00 | 星期五: 11:00 – 19:00 | 星期六: 11:00 – 19:00 | 星期日: 11:00 – 19:00,5.0,27.0,台北市,北投區,False,False,False,False,False,False,False,False,False,False,未明確說明
好時光寵物旅館,,114台灣台北市內湖區民權東路六段123巷20弄5號,,,5.0,2.0,台北市,內湖區,False,False,False,False,False,False,False,False,False,False,未明確說明
"【預約制】樂兒精緻寵物美容/住宿/安親 Happi Ours Pet Grooming, Boarding & Daycare",,114台灣台北市內湖區民權東路六段123巷34弄19號,02 2792 1719,星期一: 10:00 – 17:00 | 星期二: 10:00 – 17:00 | 星期三: 休息 | 星期四: 休息 | 星期五: 10:00 – 17:00 | 星期六: 10:00 – 17:00 | 星期日: 10:00 – 17:00,5.0,9.0,台北市,內湖區,False,False,False,False,False,False,False,False,False,False,未明確說明
Furry spa&hotel 毛絨絨,,114台灣台北市內湖區星雲街72號,0930 131 326,星期一: 11:00 – 20:00 | 星期二: 11:00 – 20:00 | 星期三: 11:00 – 20:00 | 星期四: 11:00 – 20:00 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00,,,台北市,內湖區,False,False,False,False,False,False,False,False,False,False,未明確說明
大大寵物旅館,https://www.facebook.com/hoteldadapet/,221台灣新北市汐止區汐萬路一段19號,02 2691 8001,星期一: 09:00 – 20:00 | 星期二: 休息 | 星期三: 09:00 – 20:00 | 星期四: 09:00 – 20:00 | 星期五: 09:00 – 20:00 | 星期六: 09:00 – 20:00 | 星期日: 09:00 – 20:00,4.9,86.0,台北市,內湖區,False,False,False,False,False,False,False,False,False,False,未明確說明
逗逗先生寵物沙龍旅館,https://m.facebook.com/MrDogPetSPA/,234台灣新北市永和區得和路178號,02 8668 6751,星期一: 11:00 – 20:00 | 星期二: 11:00 – 20:00 | 星期三: 休息 | 星期四: 休息 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00,4.8,68.0,台北市,文山區,False,False,False,False,False,False,False,False,False,False,未明確說明
尊毛屋寵物美容行旅,https://www.facebook.com/zmw138,404台灣台中市北區益華街138號,0958 939 136,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,4.9,223.0,台中市,中區,False,False,False,False,False,False,False,False,False,False,未明確說明
晨曦毛旅,https://page.line.me/502ugcbw,402台灣台中市南區國光路65號,04 2376 7369,星期一: 09:00 – 19:00 | 星期二: 休息 | 星期三: 09:00 – 19:00 | 星期四: 09:00 – 19:00 | 星期五: 09:00 – 19:00 | 星期六: 09:00 – 19:00 | 星期日: 09:00 – 19:00,4.6,45.0,台中市,中區,False,False,False,False,False,False,False,False,False,False,未明確說明
旺憂寵物(東興店) — 寵物用品｜寵物美容｜寵物住宿(24小時保母)｜寵物安親,https://lin.ee/Wij3Flb,408台灣台中市南屯區東興路二段265號,04 2473 5678,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,5.0,864.0,台中市,中區,False,False,False,False,False,False,False,False,False,False,未明確說明
MOCHOCO寵物沙龍X旅宿-台中南區店｜美容 洗澡 spa 護理｜旅館 住宿 安親｜皮膚 足部 口腔 保健,,402台灣台中市南區南平路39-5號,04 2265 8202,星期一: 10:00 – 19:00 | 星期二: 休息 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,5.0,161.0,台中市,中區,False,False,False,False,False,False,False,False,False,False,未明確說明
夏沐沐寵物美容｜寵物住宿｜皮膚管理｜台中西屯,https://www.facebook.com/%E5%A4%8F%E6%B2%90%E6%B2%90%E5%AF%B5%E7%89%A9%E6%97%85%E9%A4%A8-193923807335108/,407台灣台中市西屯區永福路118巷11號,0982 663 177,星期一: 10:00 – 19:30 | 星期二: 10:00 – 19:30 | 星期三: 10:00 – 19:30 | 星期四: 10:00 – 19:30 | 星期五: 10:00 – 19:30 | 星期六: 10:00 – 19:30 | 星期日: 10:00 – 19:30,4.9,239.0,台中市,中區,False,False,False,False,False,False,False,False,False,False,未明確說明
ODO寵物生活旅宿,,406台灣台中市北屯區北屯路281-3號,0917 376 200,星期一: 11:00 – 20:00 | 星期二: 11:00 – 20:00 | 星期三: 11:00 – 20:00 | 星期四: 11:00 – 20:00 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00,5.0,34.0,台中市,中區,False,False,False,False,False,False,False,False,False,False,未明確說明
飽屋寵物美容｜預約制｜住宿｜安親｜鮮食｜接送｜到府教學｜,http://www.facebook.com/BaoWu0214/,407台灣台中市西屯區大隆路72號2樓,0966 293 606,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 休息,4.7,69.0,台中市,中區,False,False,False,False,False,False,False,False,False,False,未明確說明
希米亞寵物旅館,,402台灣台中市南區工學北路86號,04 2260 5478,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 休息,4.4,50.0,台中市,中區,False,False,False,False,False,False,False,False,False,False,未明確說明
PAT’s KITCHEN (派特寵物友善餐廳)｜寵物美容｜寵物泳池｜寵物安親｜寵物住宿（24小時保母）,https://www.facebook.com/PATSKITCHEN2022,408台灣台中市南屯區公益路二段959號,04 2389 9891,星期一: 11:00 – 19:00 | 星期二: 11:00 – 19:00 | 星期三: 11:00 – 19:00 | 星期四: 休息 | 星期五: 11:00 – 19:00 | 星期六: 11:00 – 19:00 | 星期日: 11:00 – 19:00,4.7,931.0,台中市,中區,False,False,False,False,False,False,False,False,False,False,未明確說明
旺憂寵物(忠明店) — 寵物用品｜寵物美容｜寵物住宿(24小時保母)｜寵物安親,https://lin.ee/pE5cvFX,404台灣台中市北區忠明路333號,04 2203 3888,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,5.0,140.0,台中市,中區,False,False,False,False,False,False,False,False,False,False,未明確說明
台中宅宅寵物到府照護/散步陪玩美容餵食清潔/毛小愛寵物旅館/到府保母加line諮詢,,402台灣台中市南區復興路二段71巷65弄,0908 708 372,,5.0,19.0,台中市,中區,False,False,False,False,False,False,False,False,False,False,未明確說明
咪喜寵物精品旅舍,,406504台灣台中市北屯區環太東路503號,04 2393 7441,星期一: 10:00 – 20:30 | 星期二: 10:00 – 20:30 | 星期三: 10:00 – 20:30 | 星期四: 10:00 – 20:30 | 星期五: 10:00 – 20:30 | 星期六: 10:00 – 20:30 | 星期日: 10:00 – 20:30,5.0,25.0,台中市,中區,False,False,False,False,False,False,False,False,False,False,未明確說明
沐森琳寵物沙龍行旅,https://lin.ee/tAlt9uu,404台灣台中市北區梅亭街490號,0905 533 004,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,5.0,135.0,台中市,中區,False,False,False,False,False,False,False,False,False,False,未明確說明
Homey Essence 寵物美容｜安親｜住宿｜到府｜飼料代訂,https://lin.ee/ctUpvWb,406055台灣台中市北屯區景賢路103號,04 2436 3117,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,4.9,52.0,台中市,東區,False,False,False,False,False,False,False,False,False,False,未明確說明
吃手手寵物精品旅館The Paw Pet Hotel,https://thepaw.com.tw/,100台灣台北市中正區濟南路二段35-1號1樓,02 2322 2020,星期一: 08:00 – 22:00 | 星期二: 08:00 – 22:00 | 星期三: 08:00 – 22:00 | 星期四: 08:00 – 22:00 | 星期五: 08:00 – 22:00 | 星期六: 08:00 – 22:00 | 星期日: 08:00 – 22:00,4.9,87.0,台中市,東區,False,False,False,False,False,False,False,False,False,False,未明確說明
就甘心Ponpon寵物旅館,https://www.facebook.com/Ponpon.Pet.hotel/,10491台灣台北市中山區新生北路二段60巷16號4樓,02 2568 2751,星期一: 11:00 – 19:00 | 星期二: 11:00 – 19:00 | 星期三: 11:00 – 19:00 | 星期四: 11:00 – 19:00 | 星期五: 11:00 – 19:00 | 星期六: 11:00 – 19:00 | 星期日: 11:00 – 19:00,5.0,380.0,台中市,東區,False,False,False,False,False,False,False,False,False,False,未明確說明
毛毛窩寵物精品旅館,,116台灣台北市文山區景隆街48號,,星期一: 10:00 – 22:00 | 星期二: 10:00 – 22:00 | 星期三: 10:00 – 22:00 | 星期四: 10:00 – 22:00 | 星期五: 10:00 – 22:00 | 星期六: 10:00 – 22:00 | 星期日: 10:00 – 22:00,4.6,108.0,台中市,東區,False,False,False,False,False,False,False,False,False,False,未明確說明
嗷嗚寵物旅館,https://auwoodogshotel.weebly.com/,104台灣台北市中山區新生北路三段84巷25號1樓,,,4.9,19.0,台中市,東區,False,False,False,False,False,False,False,False,False,False,未明確說明
