店名,網站,地址,電話,營業時間,評分,評分數量,城市,區域,接受狗,接受貓,接受小型犬,接受中型犬,接受大型犬,接受兔子,接受倉鼠,接受鳥類,接受爬蟲類,接受其他小動物,支援寵物類型
24h陪同就醫/寵物寄宿/過年有空/到府美容/到府獸醫/到府照護/貓狗保姆/寵物旅館/毛小愛,https://lin.ee/XQ3cli4,104台灣台北市中山區新生北路三段26號,0908 708 372,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,5.0,12.0,台北市,中正區,True,True,True,True,True,False,False,False,False,False,小型犬、中型犬、大型犬、貓
Very旺寵物旅館 VW pet hotel,https://lin.ee/IPzXtzT,105台灣台北市松山區八德路二段429號2樓,02 2741 2777,星期一: 08:30 – 20:00 | 星期二: 08:30 – 20:00 | 星期三: 08:30 – 20:00 | 星期四: 08:30 – 20:00 | 星期五: 08:30 – 20:00 | 星期六: 08:30 – 20:00 | 星期日: 08:30 – 20:00,4.4,309.0,台北市,中正區,False,False,False,False,False,False,False,False,False,False,未明確說明
家裡寵物旅館-幼幼館,https://www.facebook.com/homedoghotel195,"1樓, No. 195號長安東路二段中山區台北市台灣 10490",02 2731 9200,"星期一: 10:00 – 12:00, 13:30 – 20:00 | 星期二: 10:00 – 12:00, 13:30 – 20:00 | 星期三: 10:00 – 12:00, 13:30 – 20:00 | 星期四: 10:00 – 12:00, 13:30 – 20:00 | 星期五: 10:00 – 12:00, 13:30 – 20:00 | 星期六: 10:00 – 12:00, 13:30 – 20:00 | 星期日: 10:00 – 12:00, 13:30 – 20:00",4.9,121.0,台北市,中正區,False,False,False,False,False,False,False,False,False,False,未明確說明
貓格里拉 - 貓旅館 - 貓住宿 - Cat Hotel & Goods,https://www.thecathotel.tw/,"10樓之3, No. 76號復興南路一段大安區台北市台灣 106",02 8773 3503,星期一: 11:00 – 19:00 | 星期二: 11:00 – 19:00 | 星期三: 11:00 – 19:00 | 星期四: 11:00 – 19:00 | 星期五: 11:00 – 19:00 | 星期六: 11:00 – 19:00 | 星期日: 11:00 – 19:00,4.9,155.0,台北市,中正區,True,True,True,False,False,False,False,False,False,False,小型犬、貓
狗狗日常寵物旅館/寵物旅館/寵物美容/寵物自助洗/狗安親/狗住宿,http://facebook.com/ddl.pethotel,116台灣台北市文山區羅斯福路六段85號,0982 920 852,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,4.7,138.0,台北市,中正區,True,False,True,True,True,False,False,False,False,False,小型犬、中型犬、大型犬
宅貓旅館🥰中山館,http://www.cat-hotel.com.tw/,10469台灣台北市中山區民生東路二段3號,02 2521 8488,星期一: 10:30 – 20:00 | 星期二: 10:30 – 20:00 | 星期三: 10:30 – 20:00 | 星期四: 10:30 – 20:00 | 星期五: 10:30 – 20:00 | 星期六: 10:30 – 20:00 | 星期日: 10:30 – 20:00,5.0,271.0,台北市,中正區,False,True,False,False,False,False,False,False,False,False,貓
毛毛窩寵物精品旅館,,116台灣台北市文山區景隆街48號,,星期一: 10:00 – 22:00 | 星期二: 10:00 – 22:00 | 星期三: 10:00 – 22:00 | 星期四: 10:00 – 22:00 | 星期五: 10:00 – 22:00 | 星期六: 10:00 – 22:00 | 星期日: 10:00 – 22:00,4.6,108.0,台北市,中正區,False,False,False,False,False,False,False,False,False,False,未明確說明
HIPP 喜寶棧 - 咖啡酒館 & 貓旅館 每天營業 4月28/29日店休 CAFE BAR & CAT HOTEL,https://www.facebook.com/hippcc,100063台灣台北市中正區中華路二段307巷40號1樓,02 2303 5540,星期一: 18:00 – 02:00 | 星期二: 18:00 – 02:00 | 星期三: 18:00 – 02:00 | 星期四: 18:00 – 02:00 | 星期五: 18:00 – 02:00 | 星期六: 18:00 – 02:00 | 星期日: 18:00 – 02:00,5.0,525.0,台北市,中正區,False,True,False,False,False,False,False,False,False,False,貓
DANDY CAT 丹迪貓 純貓旅館 美容,,103020台灣台北市大同區平陽街25號,02 2559 6952,星期一: 11:00 – 21:00 | 星期二: 11:00 – 21:00 | 星期三: 11:00 – 21:00 | 星期四: 11:00 – 21:00 | 星期五: 11:00 – 21:00 | 星期六: 11:00 – 21:00 | 星期日: 11:00 – 21:00,5.0,20.0,台北市,中正區,False,True,False,False,False,False,False,False,False,False,貓
毛尾巴寵物美容旅店 Furry Tail Pet Salon & Hotel,https://www.furrytailpetsalonhotel.com/,106台灣台北市大安區大安路一段205號,02 2700 0300,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 休息 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,4.9,170.0,台北市,中正區,True,True,True,True,True,False,False,False,False,False,小型犬、中型犬、大型犬、貓
【米兔旅店】兔子住宿-寵物旅館,https://mitoo.tw/,103台灣台北市大同區酒泉街105號,,星期一: 08:00 – 20:00 | 星期二: 08:00 – 20:00 | 星期三: 08:00 – 20:00 | 星期四: 08:00 – 20:00 | 星期五: 08:00 – 20:00 | 星期六: 08:00 – 20:00 | 星期日: 08:00 – 20:00,5.0,203.0,台北市,中正區,True,True,True,True,True,True,False,False,False,False,小型犬、中型犬、大型犬、貓、兔子
啪啾寵物旅館Pet-Chi Doggy Hotel,https://www.facebook.com/LovePetChi,234台灣新北市永和區永貞路53號1,02 2928 2951,星期一: 休息 | 星期二: 11:00 – 21:00 | 星期三: 11:00 – 21:00 | 星期四: 11:00 – 21:00 | 星期五: 11:00 – 21:00 | 星期六: 11:00 – 21:00 | 星期日: 11:00 – 21:00,4.8,24.0,台北市,中正區,False,False,False,False,False,False,False,False,False,False,未明確說明
捲尾巴寵物旅宿/新北寵物旅館/永和寵物旅館/狗旅館/狗狗安親/狗狗過夜,https://www.facebook.com/petpawshotel/,234009台灣新北市永和區永平路300號,,星期一: 休息 | 星期二: 09:30 – 20:00 | 星期三: 09:30 – 20:00 | 星期四: 09:30 – 20:00 | 星期五: 09:30 – 20:00 | 星期六: 09:30 – 20:00 | 星期日: 09:30 – 20:00,4.7,41.0,台北市,中正區,True,False,True,True,True,False,False,False,False,False,小型犬、中型犬、大型犬
貓僕舍複合式貓旅館,https://lin.ee/ZSLqO6x,10362台灣台北市大同區重慶北路三段73號,02 2585 1417,星期一: 10:30 – 19:00 | 星期二: 10:30 – 19:00 | 星期三: 10:30 – 19:00 | 星期四: 10:30 – 19:00 | 星期五: 10:30 – 19:00 | 星期六: 11:00 – 19:00 | 星期日: 11:00 – 19:00,4.9,50.0,台北市,中正區,False,True,False,False,False,False,False,False,False,False,貓
王子公主寵物美容旅館,https://www.princeprincess.com.tw/,11679台灣台北市文山區興隆路一段96號,02 8931 3637,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 休息 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 18:00 | 星期日: 10:00 – 18:00,4.9,76.0,台北市,中正區,True,True,True,False,False,False,False,False,False,False,小型犬、貓
貓森旅-貓旅館Cat Hotel 台北市中心,https://catsforestvilla.tw/,106台灣台北市大安區信義路三段75之1號 2樓,02 2707 8877,星期一: 12:00 – 21:00 | 星期二: 12:00 – 21:00 | 星期三: 12:00 – 21:00 | 星期四: 12:00 – 21:00 | 星期五: 12:00 – 21:00 | 星期六: 12:00 – 21:00 | 星期日: 12:00 – 21:00,5.0,417.0,台北市,中正區,True,True,True,False,False,False,False,False,False,False,小型犬、貓
貓語花香私房貓旅/ 台北微風廣場對面,http://www.catvilla.com.tw/,10491台灣台北市中山區復興南路一段36之2號2樓,02 8772 8376,星期一: 11:00 – 20:00 | 星期二: 11:00 – 20:00 | 星期三: 11:00 – 20:00 | 星期四: 11:00 – 20:00 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00,4.9,51.0,台北市,中正區,False,True,False,False,False,False,False,False,False,False,貓
毛旅 寵物旅館,https://m.facebook.com/furtrips/,10491台灣台北市中山區長安東路二段232號,02 2721 3091,星期一: 10:30 – 20:00 | 星期二: 10:30 – 20:00 | 星期三: 10:30 – 20:00 | 星期四: 10:30 – 20:00 | 星期五: 10:30 – 20:00 | 星期六: 10:30 – 20:00 | 星期日: 10:30 – 20:00,5.0,15.0,台北市,中正區,False,False,False,False,False,False,False,False,False,False,未明確說明
三毛寵物旅館/三毛寵物美容/貓咪住宿/狗狗美容/狗狗洗澡,https://somemore-pet.com.tw/,234台灣新北市永和區中和路421巷3弄1號1樓,02 2925 8933,星期一: 09:00 – 21:00 | 星期二: 09:00 – 21:00 | 星期三: 09:00 – 21:00 | 星期四: 09:00 – 21:00 | 星期五: 09:00 – 21:00 | 星期六: 09:00 – 21:00 | 星期日: 09:00 – 21:00,4.6,365.0,台北市,中正區,True,True,True,True,True,False,False,False,False,False,小型犬、中型犬、大型犬、貓
miya-甜蜜貓旅店,http://miyahotel.blogspot.com/,234台灣新北市永和區永和路二段228號3F,02 2926 2627,星期一: 12:00 – 21:00 | 星期二: 12:00 – 21:00 | 星期三: 12:00 – 21:00 | 星期四: 12:00 – 21:00 | 星期五: 12:00 – 21:00 | 星期六: 12:00 – 21:00 | 星期日: 12:00 – 21:00,5.0,136.0,台北市,中正區,True,True,True,True,True,False,False,False,False,False,小型犬、中型犬、大型犬、貓
S蓋狗狗訓練工坊．住宿,https://lin.ee/fvn3Z9T,234台灣新北市永和區永利路4巷,0978 507 960,星期一: 09:00 – 22:00 | 星期二: 09:00 – 22:00 | 星期三: 09:00 – 22:00 | 星期四: 09:00 – 22:00 | 星期五: 09:00 – 22:00 | 星期六: 09:00 – 22:00 | 星期日: 09:00 – 22:00,5.0,13.0,台北市,中正區,True,False,True,True,True,False,False,False,False,False,小型犬、中型犬、大型犬
有間貓旅精品度假中心 A-House Traveler -貓咪住宿|寵物旅館|貓咪行為訓練|諮詢|台北松山區|民生社區,https://www.a-housetraveler.com/,105032台灣台北市松山区南京东路五段137號二樓,02 2396 3963,星期一: 11:00 – 21:00 | 星期二: 11:00 – 21:00 | 星期三: 11:00 – 21:00 | 星期四: 11:00 – 21:00 | 星期五: 11:00 – 21:00 | 星期六: 11:00 – 21:00 | 星期日: 11:00 – 21:00,5.0,318.0,台北市,中正區,True,True,False,False,True,False,False,False,False,False,大型犬、貓
北歐寵物旅館 游泳館,http://www.nph.com.tw/,105台灣台北市松山區八德路三段224號,02 2577 9886,星期一: 08:00 – 22:00 | 星期二: 08:00 – 22:00 | 星期三: 08:00 – 22:00 | 星期四: 08:00 – 22:00 | 星期五: 08:00 – 22:00 | 星期六: 08:00 – 22:00 | 星期日: 08:00 – 22:00,4.7,296.0,台北市,中正區,True,True,True,True,True,False,False,False,False,False,小型犬、中型犬、大型犬、貓
轉角遇見兔 The Rabbit Hotel at Corner,https://sites.google.com/view/rabbithotelcorner,10079台灣台北市中正區三元街216號,0916 925 177,星期一: 10:30 – 20:00 | 星期二: 10:30 – 20:00 | 星期三: 10:30 – 20:00 | 星期四: 10:30 – 20:00 | 星期五: 10:30 – 20:00 | 星期六: 11:00 – 16:00 | 星期日: 休息,,,台北市,中正區,False,False,False,False,False,True,False,False,False,False,兔子
寵蝦咪寵物美容住宿Chongshopme-文山店,https://www.facebook.com/profile.php?id=61551489593108&mibextid=2JQ9oc,116台灣台北市文山區興隆路一段261號,02 2933 1890,星期一: 11:00 – 20:00 | 星期二: 11:00 – 20:00 | 星期三: 休息 | 星期四: 11:00 – 20:00 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00,4.9,70.0,台北市,中正區,False,False,False,False,False,False,False,False,False,False,未明確說明
巧PetPet寵物精品旅館,https://www.ciaopetpet.com/,234台灣新北市永和區得和路82號,02 2942 8882,"星期一: 11:00 – 21:00 | 星期二: 11:00 – 14:00, 18:00 – 20:00 | 星期三: 11:00 – 14:00, 18:00 – 20:00 | 星期四: 11:00 – 21:00 | 星期五: 11:00 – 21:00 | 星期六: 11:00 – 21:00 | 星期日: 11:00 – 21:00",4.7,87.0,台北市,中正區,True,True,True,True,True,False,False,False,False,False,小型犬、中型犬、大型犬、貓
呼嚕嚕貓旅,,241台灣新北市三重區重新路三段26號,02 2972 8805,星期一: 11:30 – 20:30 | 星期二: 11:30 – 20:30 | 星期三: 11:30 – 20:30 | 星期四: 11:30 – 20:30 | 星期五: 11:30 – 20:30 | 星期六: 11:30 – 20:30 | 星期日: 11:30 – 20:30,5.0,15.0,台北市,中正區,False,True,False,False,False,False,False,False,False,False,貓
宅貓旅館🥰信義館,https://www.cat-hotel.com.tw/,110台灣台北市信義區基隆路二段117號2樓,02 2732 5667,星期一: 11:00 – 20:00 | 星期二: 11:00 – 20:00 | 星期三: 11:00 – 20:00 | 星期四: 11:00 – 20:00 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00,4.9,127.0,台北市,中正區,False,True,False,False,False,False,False,False,False,False,貓
茶比寵物旅館 〔 中和寵物住宿 〕,https://www.facebook.com/chubbypethotel?mibextid=LQQJ4d,235台灣新北市中和區景平路559號,02 8245 2232,星期一: 09:00 – 20:00 | 星期二: 09:00 – 20:00 | 星期三: 09:00 – 20:00 | 星期四: 09:00 – 20:00 | 星期五: 09:00 – 20:00 | 星期六: 09:00 – 20:00 | 星期日: 09:00 – 20:00,4.9,81.0,台北市,中正區,False,False,False,False,False,False,False,False,False,False,未明確說明
D&Y 寵物美容時尚旅店,,10491台灣台北市中山區中山北路三段55巷22號,02 2592 3252,星期一: 08:00 – 22:00 | 星期二: 08:00 – 22:00 | 星期三: 08:00 – 22:00 | 星期四: 08:00 – 22:00 | 星期五: 08:00 – 22:00 | 星期六: 08:00 – 22:00 | 星期日: 08:00 – 22:00,4.7,287.0,台北市,中正區,False,False,False,False,False,False,False,False,False,False,未明確說明
寄居喵和風貓旅宿Hermicat 純貓旅館,https://hermicat.com/,110053台灣台北市信義區信義路四段401號5樓,02 2720 2823,星期一: 11:30 – 19:00 | 星期二: 11:30 – 19:00 | 星期三: 11:30 – 19:00 | 星期四: 11:30 – 19:00 | 星期五: 11:30 – 19:00 | 星期六: 11:30 – 19:00 | 星期日: 11:30 – 19:00,5.0,51.0,台北市,中正區,True,True,True,True,True,False,False,False,False,False,小型犬、中型犬、大型犬、貓
小花貓 貓宿 貓咪住宿 貓咪旅館 寵物旅館,https://www.facebook.com/notes/%E5%B0%8F%E8%8A%B1%E8%B2%93-%E8%B2%93%E5%AE%BF-cats-pajamas-hostel/%E5%B0%8F%E8%8A%B1%E8%B2%93-%E8%B2%93%E5%AE%BF%E8%B3%87%E8%A8%8A%E6%95%B4%E7%90%86%E7%BD%AE%E9%A0%82%E6%96%87180815%E7%89%88/1280771521943661/,116台灣台北市文山區景興路223號,02 2933 8515,星期一: 11:00 – 21:00 | 星期二: 11:00 – 21:00 | 星期三: 休息 | 星期四: 11:00 – 21:00 | 星期五: 11:00 – 21:00 | 星期六: 12:00 – 20:00 | 星期日: 12:00 – 20:00,4.8,57.0,台北市,中正區,False,True,False,False,False,False,False,False,False,False,貓
城市貓旅 City Cat 貓旅館/純貓美容,http://www.cathotel.tw/,103台灣台北市大同區長安西路254號2樓,02 2552 7056,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,4.8,256.0,台北市,中正區,False,True,False,False,False,False,False,False,False,False,貓
搖擺狗寵物美容住宿,,110台灣台北市信義區光復南路417之4號,02 2345 3383,星期一: 11:00 – 18:30 | 星期二: 休息 | 星期三: 11:00 – 20:00 | 星期四: 11:00 – 20:00 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00,5.0,15.0,台北市,中正區,True,False,True,True,True,False,False,False,False,False,小型犬、中型犬、大型犬
胖狗屋寵物旅館,http://www.pangohouse.com/,234台灣新北市永和區永貞路85號,02 2928 0365,星期一: 11:00 – 21:00 | 星期二: 11:00 – 21:00 | 星期三: 11:00 – 21:00 | 星期四: 11:00 – 21:00 | 星期五: 11:00 – 21:00 | 星期六: 11:00 – 21:00 | 星期日: 11:00 – 21:00,4.8,69.0,台北市,中正區,True,False,True,False,False,False,False,False,False,False,小型犬
肥貓家貓舍/永和貓旅館/貓咪美容(預約制),https://lin.ee/bX5sn4C,234台灣新北市永和區中正路271號3樓,02 8231 7088,星期一: 10:00 – 19:30 | 星期二: 10:00 – 19:30 | 星期三: 10:00 – 19:30 | 星期四: 10:00 – 19:30 | 星期五: 10:00 – 19:30 | 星期六: 10:00 – 19:30 | 星期日: 10:00 – 19:30,5.0,106.0,台北市,中正區,False,True,False,False,False,False,False,False,False,False,貓
嗷嗚寵物旅館,https://auwoodogshotel.weebly.com/,104台灣台北市中山區新生北路三段84巷25號1樓,,,4.9,19.0,台北市,中正區,False,False,False,False,False,False,False,False,False,False,未明確說明
THE CAT 貓・旅店｜貓旅館·寵物美容,https://www.instagram.com/,106台灣台北市大安區信義路四段293號2樓,,星期一: 11:00 – 19:00 | 星期二: 11:00 – 19:00 | 星期三: 11:00 – 19:00 | 星期四: 11:00 – 19:00 | 星期五: 11:00 – 19:00 | 星期六: 11:00 – 19:00 | 星期日: 11:00 – 19:00,4.9,97.0,台北市,中正區,False,True,False,False,False,False,False,False,False,False,貓
金狗錐狗狗寵物旅館（預約制）小型犬安親住宿、狗狗美容,https://www.facebook.com/105885414560021/posts/130438382104724/?extid=ZJOZ242l9TrCRuqG&d=n,105台灣台北市松山區南京東路五段163-4號,02 2749 4873,星期一: 09:00 – 21:00 | 星期二: 09:00 – 21:00 | 星期三: 09:00 – 21:00 | 星期四: 09:00 – 21:00 | 星期五: 09:00 – 21:00 | 星期六: 09:00 – 21:00 | 星期日: 09:00 – 21:00,5.0,58.0,台北市,中正區,True,False,True,False,False,False,False,False,False,False,小型犬
WE CAT喵旅/貓旅館 、美容、安親、用品,https://wecat.17shot.com/,23450台灣新北市永和區福和路167號2 F,0909 578 920,星期一: 11:30 – 19:30 | 星期二: 11:30 – 19:30 | 星期三: 11:30 – 19:30 | 星期四: 11:30 – 19:30 | 星期五: 11:30 – 19:30 | 星期六: 11:30 – 19:30 | 星期日: 11:30 – 19:30,5.0,50.0,台北市,中正區,False,True,False,False,False,False,False,False,False,False,貓
毛小愛三重區中正南路寵物保姆-客製化寵物照護/到府照護/陪狗狗散步/寵物旅館以外的選擇！,https://fluv.com/profiles/Ww5FB65papQYqvYCdcZ8lO0WKsi2?action=share&openExternalBrowser=1,241台灣新北市三重區中正南路82號,0983 397 833,星期一: 09:00 – 21:00 | 星期二: 09:00 – 21:00 | 星期三: 09:00 – 21:00 | 星期四: 09:00 – 21:00 | 星期五: 09:00 – 21:00 | 星期六: 09:00 – 21:00 | 星期日: 09:00 – 21:00,,,台北市,中正區,True,False,True,True,True,False,False,False,False,False,小型犬、中型犬、大型犬
狗窩窩愛犬旅社(寵物旅館/狗狗美容/狗狗住宿/寵物安親/狗狗洗澡),https://www.facebook.com/WoofinnDogHotel/,105台灣台北市松山区民生东路五段137巷2-5號1樓,02 2766 6185,星期一: 08:00 – 21:00 | 星期二: 08:00 – 21:00 | 星期三: 08:00 – 21:00 | 星期四: 08:00 – 21:00 | 星期五: 08:00 – 21:00 | 星期六: 08:00 – 21:00 | 星期日: 08:00 – 21:00,4.7,75.0,台北市,中正區,True,False,True,True,True,False,False,False,False,False,小型犬、中型犬、大型犬
集寵文旅。睡覺間 寵物安親||貓狗住宿|手做鮮食.零食-文山寵物住宿|寵物安親|寵物鮮食|寵物照護|寵物安養|寵物旅館|寵物美容,https://www.facebook.com/petlovehotel/,11645台灣台北市文山區木柵路二段27號,02 2939 8586,星期一: 10:30 – 19:30 | 星期二: 10:30 – 19:30 | 星期三: 10:30 – 19:30 | 星期四: 10:30 – 19:30 | 星期五: 10:30 – 19:30 | 星期六: 10:30 – 19:30 | 星期日: 10:30 – 19:30,4.9,55.0,台北市,中正區,True,True,True,True,True,False,False,False,False,False,小型犬、中型犬、大型犬、貓
狗狗好乖寵物旅館,https://www.facebook.com/PerfectPawsHotel,115台灣台北市南港區玉成街4號,02 2783 5005,星期一: 08:10 – 21:00 | 星期二: 08:10 – 21:00 | 星期三: 08:10 – 21:30 | 星期四: 08:10 – 21:00 | 星期五: 08:10 – 21:00 | 星期六: 08:10 – 21:00 | 星期日: 08:10 – 21:00,4.6,72.0,台北市,中正區,True,False,True,True,True,False,False,False,False,False,小型犬、中型犬、大型犬
GuGu House 寵物旅館,http://guguhouse.com/,10462台灣台北市中山區敬業一路160號,02 8502 1008,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,4.7,70.0,台北市,中正區,False,False,False,False,False,False,False,False,False,False,未明確說明
新北市 板橋 澎澎寵物旅館,https://m.facebook.com/pongpong168/,22052台灣新北市板橋區新生街29巷15弄2號1樓,0926 876 651,星期一: 11:00 – 20:30 | 星期二: 11:00 – 20:30 | 星期三: 11:00 – 20:30 | 星期四: 11:00 – 20:30 | 星期五: 11:00 – 20:30 | 星期六: 11:00 – 20:30 | 星期日: 11:00 – 20:30,4.9,374.0,台北市,中正區,False,False,False,False,False,False,False,False,False,False,未明確說明
捉迷腸寵物館 - 新北(寵物旅館服務，寵物沙龍，寵物美容店推薦，長毛臘腸犬舍，長毛臘腸，達克斯犬舍，到府寵物保姆),https://www.facebook.com/dooooooglove/?ref=pages_you_manage,235台灣新北市中和區大勇街25巷15弄13號,0970 732 392,星期一: 休息 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,5.0,50.0,台北市,中正區,True,False,True,False,False,False,False,False,False,False,小型犬
Amazing Dog 好狗狗｜寵物訓練｜寵物旅館,https://instagram.com/amazingdog.training.hotel?igshid=YTQwZjQ0NmI0OA==,235024台灣新北市中和區中原街106號,02 8221 1683,星期一: 09:00 – 20:00 | 星期二: 09:00 – 20:00 | 星期三: 09:00 – 20:00 | 星期四: 09:00 – 20:00 | 星期五: 09:00 – 20:00 | 星期六: 09:00 – 20:00 | 星期日: 09:00 – 20:00,4.9,62.0,台北市,中正區,True,False,True,True,True,False,False,False,False,False,小型犬、中型犬、大型犬
貓悅居貓旅館(採預約制),https://www.facebook.com/maoyueju,241台灣新北市三重區重陽路三段5巷28-2號,02 2986 1200,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,5.0,140.0,台北市,中正區,False,True,False,False,False,False,False,False,False,False,貓
