店名,地址,電話,網站,評分,評分數量,營業時間,城市,區域
懶洋洋寵物沙龍(犬貓住宿、安親官方Line預約制),811台灣高雄市楠梓區大學三十一街173號,0971 235 039,https://www.instagram.com/zxp950434?igsh=MWQ4am1pMjIzZ2QxMg==&utm_source=qr,5,64,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,高雄市,楠梓區
米特寵物美容旅店（寵物美容/住宿/安親）Meet Pet Grooming Salon & Hotel,811台灣高雄市楠梓區惠正街145號,0916 922 982,https://www.facebook.com/meetahuang/,5,28,星期一: 休息 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 休息,高雄市,楠梓區
寵悠活-鮮食宿-寵物旅館 寵物美容 寵物安親 寵物百貨 短期長期寵物住宿,813台灣高雄市左營區部後街10-1號,07 588 6964,https://www.hotelpet8.com/,5,150,星期一: 10:00 – 18:00 | 星期二: 10:00 – 18:00 | 星期三: 10:00 – 18:00 | 星期四: 10:00 – 18:00 | 星期五: 10:00 – 18:00 | 星期六: 10:00 – 18:00 | 星期日: 休息,高雄市,楠梓區
自遊自宅寵物旅館,813台灣高雄市左營區文學路655號,0978 730 215,https://www.instagram.com/gogo_free2023/,5,33,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,高雄市,楠梓區
吉弄寵物沙龍 ( 楠梓寵物美容丨毛孩沙龍丨日托安親丨官方Line預約 ),811台灣高雄市楠梓區大學南路993號,0901 360 283,https://www.facebook.com/profile.php?id=61553121102485&mibextid=ZbWKwL,5,25,星期一: 09:00 – 19:00 | 星期二: 09:00 – 19:00 | 星期三: 09:00 – 19:00 | 星期四: 09:00 – 19:00 | 星期五: 09:00 – 19:00 | 星期六: 09:00 – 19:00 | 星期日: 09:00 – 19:00,高雄市,楠梓區
GO Pro寵物旅館-住宿美容,807台灣高雄市三民區民族一路782-8號,0912 390 822,https://www.facebook.com/GO-Pro%E5%AF%B5%E7%89%A9%E6%97%85%E9%A4%A8-%E4%BD%8F%E5%AE%BF%E7%BE%8E%E5%AE%B9-1941510372808211/,4.7,131,星期一: 09:00 – 20:00 | 星期二: 09:00 – 20:00 | 星期三: 09:00 – 20:00 | 星期四: 09:00 – 20:00 | 星期五: 09:00 – 20:00 | 星期六: 09:00 – 20:00 | 星期日: 09:00 – 20:00,高雄市,楠梓區
Kuma's熊樣寵物旅館,804台灣高雄市鼓山區明誠三路600號,07 552 8511,https://www.facebook.com/kuma600/,4.7,122,星期一: 10:00 – 18:00 | 星期二: 10:00 – 18:00 | 星期三: 10:00 – 18:00 | 星期四: 10:00 – 18:00 | 星期五: 10:00 – 18:00 | 星期六: 10:00 – 18:00 | 星期日: 10:00 – 18:00,高雄市,楠梓區
多野樂旅館 Dogether Hotel－寵物友善旅館〡寵物美容〡寵物泳池,811台灣高雄市楠梓區興楠路385號,07 351 0222,https://bit.ly/3AtV6lG,4.5,378,,高雄市,楠梓區
寵の領域 寵物精品美容&寵物旅館,811台灣高雄市楠梓區右昌街807號,07 363 2885,https://www.facebook.com/%E5%AF%B5%E3%81%AE%E9%A0%98%E5%9F%9F-%E5%AF%B5%E7%89%A9%E7%B2%BE%E5%93%81%E7%BE%8E%E5%AE%B9%E5%AF%B5%E7%89%A9%E6%97%85%E9%A4%A8-109509297198953/?ref=pages_you_manage,2.6,9,星期一: 11:00 – 20:00 | 星期二: 11:00 – 20:00 | 星期三: 11:00 – 20:00 | 星期四: 11:00 – 20:00 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00,高雄市,楠梓區
Just Love就是愛寵物精品旅館,813023台灣高雄市左營區新庄仔路409號,07 350 5553,https://www.facebook.com/JustLovePet/,4.9,109,星期一: 09:30 – 19:30 | 星期二: 09:30 – 19:30 | 星期三: 09:30 – 19:30 | 星期四: 09:30 – 19:30 | 星期五: 09:30 – 19:30 | 星期六: 09:30 – 19:30 | 星期日: 09:30 – 19:30,高雄市,楠梓區
My Dog 寵物美容．住宿,807台灣高雄市三民區民族一路525號,07 350 1623,https://www.facebook.com/mydogpetgrooming2020/,4.9,78,星期一: 11:00 – 19:00 | 星期二: 休息 | 星期三: 11:00 – 19:00 | 星期四: 11:00 – 19:00 | 星期五: 11:00 – 19:00 | 星期六: 11:00 – 19:00 | 星期日: 11:00 – 19:00,高雄市,楠梓區
森富寵物生活館/高雄合法寵物美容住宿推薦,807台灣高雄市三民區明賢街42號,07 350 1217,,4.6,82,星期一: 09:30 – 19:00 | 星期二: 休息 | 星期三: 休息 | 星期四: 09:30 – 19:00 | 星期五: 09:30 – 19:00 | 星期六: 09:30 – 19:00 | 星期日: 09:30 – 19:00,高雄市,楠梓區
初心寵物美容沙龍-精緻剪/Spa/皮毛護理/狗狗住宿/安親,81361台灣高雄市左營區重信路391號,07 350 3355,https://line.me/R/ti/p/@hjm6115s,4.7,90,星期一: 09:30 – 19:00 | 星期二: 09:30 – 19:00 | 星期三: 09:30 – 19:00 | 星期四: 09:30 – 19:00 | 星期五: 09:30 – 19:00 | 星期六: 09:30 – 19:00 | 星期日: 休息,高雄市,楠梓區
扭扭貓屋🐈🐾-高雄左營│高雄貓咪旅館│高雄貓咪住宿│高雄貓咪美容│左營貓住宿/美容推薦,813台灣高雄市左營區重清路256號,,https://wrigglecat256.com.tw/,5,96,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 休息 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,高雄市,楠梓區
貓奴貓旅館｜高雄左營純貓住宿｜左營貓咪咖啡廳｜到府照顧｜貓咪洗澡｜品種貓舍,813台灣高雄市左營區文自路164號,07 350 7749,https://www.facebook.com/100093196668677,5,229,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,高雄市,楠梓區
貓頭目貓咪旅館/預約制/單純貓咪住宿/,813台灣高雄市左營區重吉路18號,,,5,84,,高雄市,楠梓區
日光寵物旅館🐾貓旅🐾純貓住宿🐾鼠兔寄宿,814台灣高雄市仁武區大正路312號,0989 312 032,https://www.facebook.com/profile.php?id=61559296175740&mibextid=ZbWKwL,5,35,"星期一: 11:30 – 15:30, 19:00 – 22:00 | 星期二: 11:30 – 15:30, 19:00 – 22:00 | 星期三: 11:30 – 15:30, 19:00 – 22:00 | 星期四: 11:30 – 15:30, 19:00 – 22:00 | 星期五: 11:30 – 15:30, 19:00 – 22:00 | 星期六: 11:30 – 15:30, 19:00 – 22:00 | 星期日: 11:30 – 15:30, 19:00 – 22:00",高雄市,楠梓區
貓家貓旅館｜左營貓住宿｜左營貓美容｜高雄貓住宿｜高雄貓美容,813台灣高雄市左營區重上街145號,07 962 3186,https://www.lovecathotel.com.tw/,5,27,星期一: 11:00 – 20:00 | 星期二: 11:00 – 20:00 | 星期三: 11:00 – 20:00 | 星期四: 11:00 – 20:00 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00,高雄市,楠梓區
睦眠貓舍｜貓咪用品｜貓咪住宿｜貓咪培育｜,807台灣高雄市三民區金山路178號,0906 609 202,https://mumian.com.tw/,5,21,星期一: 休息 | 星期二: 13:00 – 19:00 | 星期三: 13:00 – 19:00 | 星期四: 13:00 – 19:00 | 星期五: 13:00 – 19:00 | 星期六: 13:00 – 19:00 | 星期日: 13:00 – 19:00,高雄市,楠梓區
愛沐貓旅,"14號, 民生一路新興區高雄市台灣 800",07 222 2589,http://www.enjoycathotel.com.tw/,4.8,164,星期一: 11:00 – 20:00 | 星期二: 11:00 – 20:00 | 星期三: 11:00 – 20:00 | 星期四: 11:00 – 20:00 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00,高雄市,楠梓區
喵窩貓旅,820台灣高雄市岡山區大仁北路121巷1弄29-2號,0973 257 810,https://www.facebook.com/pages/category/Pet-Service/%E5%96%B5%E7%AA%A9%E8%B2%93%E6%97%85-Meow-112118603889476/,4.8,21,星期一: 10:00 – 18:00 | 星期二: 休息 | 星期三: 10:00 – 18:00 | 星期四: 10:00 – 18:00 | 星期五: 10:00 – 18:00 | 星期六: 10:00 – 18:00 | 星期日: 10:00 – 18:00,高雄市,楠梓區
露娜寵物旅館,807台灣高雄市三民區義昌路42號,0910 315 065,,4.6,81,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,高雄市,楠梓區
毛有所思Furry Thinker ｜貓旅館｜寵物行為教育（完全預約制）,807台灣高雄市三民區察哈爾一街9號,07 322 2525,https://www.facebook.com/furrythinker/,4.9,75,,高雄市,楠梓區
捲一圈貓旅館專門Cat&Hotel,807台灣高雄市三民區十全一路2號,07 322 2019,https://m.facebook.com/yonocathotel/,4.3,9,星期一: 12:00 – 21:00 | 星期二: 12:00 – 21:00 | 星期三: 12:00 – 21:00 | 星期四: 12:00 – 21:00 | 星期五: 12:00 – 21:00 | 星期六: 12:00 – 21:00 | 星期日: 休息,高雄市,楠梓區
阿毛寵物旅店 A Mou Pet House,814台灣高雄市仁武區仁勇東巷230號,07 375 9522,http://amou-pethouse.com.tw/,5,15,星期一: 10:00 – 19:00 | 星期二: 休息 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,高雄市,楠梓區
愛尼萌寵物旅館 狗貓 兔子寵物住宿 美容 安親,807台灣高雄市三民區建工路802號,07 395 0357,https://www.instagram.com/animal_pet_hotel802?igsh=YnkxeTg0bzYzaDE5&utm_source=qr,5,144,星期一: 09:00 – 19:00 | 星期二: 09:00 – 19:00 | 星期三: 09:00 – 19:00 | 星期四: 09:00 – 19:00 | 星期五: 09:00 – 19:00 | 星期六: 09:00 – 19:00 | 星期日: 09:00 – 19:00,高雄市,楠梓區
哈基咪Hagimi寵物美容x住宿/左營區寵物美容推薦/高雄寵物美容推薦/狗狗住宿/貓咪住宿,813台灣高雄市左營區至聖路306號,0913 863 306,https://www.hagimi-petsalon.com.tw/,4.9,119,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,高雄市,左營區
毛毛 愛狗樂 寵物旅館__ 不關籠50坪超大遊戲空間,800台灣高雄市新興區林森一路187號2樓,07 238 5588,https://lin.ee/1drMcHC,5,200,星期一: 11:00 – 18:00 | 星期二: 11:00 – 18:00 | 星期三: 11:00 – 18:00 | 星期四: 11:00 – 18:00 | 星期五: 11:00 – 18:00 | 星期六: 11:00 – 18:00 | 星期日: 11:00 – 18:00,高雄市,左營區
狗的窩 Golden World-寵物沙龍旅館,807台灣高雄市三民區遼寧三街93號,0966 958 600,,5,202,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,高雄市,左營區
豬窩寵物沙龍旅館Piggy,807台灣高雄市三民區興昌街26號,0981 878 661,https://www.instagram.com/piggyhouse99518?igsh=MWFueG52eXB2ejZ0bw==&utm_source=qr,5,71,星期一: 10:00 – 18:00 | 星期二: 10:00 – 18:00 | 星期三: 10:00 – 18:00 | 星期四: 10:00 – 18:00 | 星期五: 10:00 – 18:00 | 星期六: 10:00 – 18:00 | 星期日: 10:00 – 18:00,高雄市,左營區
VV寵物旅館．美容 高雄寵物住宿/美容/長期住宿/老狗住宿/安寧照護,806台灣高雄市前鎮區梧州街30巷7號,0976 596 261,https://www.facebook.com/vvpet1?mibextid=ibOpuV,4.9,81,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,高雄市,左營區
達菲寵物沙龍·旅館,813台灣高雄市左營區至真路155號,0968 655 686,,4.8,59,星期一: 10:00 – 19:00 | 星期二: 休息 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,高雄市,左營區
妮可寵物沙龍&智元寵物美學苑 寵物美容/住宿/教學,813台灣高雄市左營區崇德路538號,0970 667 197,,4.8,17,星期一: 休息 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,高雄市,左營區
狗自在 不關籠/寵物旅館/安親最低價/手吹無烘箱,802台灣高雄市苓雅區凱旋二路61號,0971 325 210,,4.9,31,星期一: 08:00 – 21:00 | 星期二: 08:00 – 21:00 | 星期三: 08:00 – 21:00 | 星期四: 08:00 – 21:00 | 星期五: 08:00 – 21:00 | 星期六: 08:00 – 21:00 | 星期日: 08:00 – 21:00,高雄市,左營區
毛絨絨澡堂x貓茸茸旅館,806台灣高雄市前鎮區民權二路613號,07 330 0313,https://www.pet-bathing.com.tw/,5,607,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,高雄市,左營區
窩牛寵物 ‧ 住宿安親/寵物蛋糕/生活雜貨,804台灣高雄市鼓山區瑞豐街134號,07 586 8782,https://www.facebook.com/wownewpets/,4.6,74,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,高雄市,左營區
No.136寵物美學精品旅店,804台灣高雄市鼓山區華豐街71號,0903 682 757,https://lin.ee/TINspxl,4.8,71,星期一: 10:00 – 18:00 | 星期二: 10:00 – 18:00 | 星期三: 休息 | 星期四: 10:00 – 18:00 | 星期五: 10:00 – 18:00 | 星期六: 10:00 – 18:00 | 星期日: 休息,高雄市,左營區
朵朵萌寵星球/高雄寵物美容/寵物住宿,804台灣高雄市鼓山區中華一路289號2樓,0973 805 085,https://www.facebook.com/profile.php?id=100091938807100,5,26,星期一: 休息 | 星期二: 10:00 – 18:00 | 星期三: 10:00 – 18:00 | 星期四: 10:00 – 18:00 | 星期五: 10:00 – 18:00 | 星期六: 10:00 – 18:00 | 星期日: 10:00 – 18:00,高雄市,左營區
熊大心寵物精品旅館,804台灣高雄市鼓山區鼓山二路110號,07 551 6688,https://line.me/ti/p/9RLVDqRszC,4.4,55,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,高雄市,左營區
熊汪寵物沙龍旅館,802台灣高雄市苓雅區正義路150號,07 740 5877,https://www.instagram.com/xiongwang0917/,5,67,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 休息 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,高雄市,左營區
飛飛寵物旅館(美容/住宿熟客制),800台灣高雄市新興區竹圍路6號,,https://www.facebook.com/dogcathotel,4.7,55,"星期一: 10:00 – 12:00, 13:00 – 19:00 | 星期二: 休息 | 星期三: 休息 | 星期四: 10:00 – 12:00, 13:00 – 19:00 | 星期五: 10:00 – 12:00, 13:00 – 19:00 | 星期六: 10:00 – 12:00, 13:00 – 19:00 | 星期日: 10:00 – 12:00, 13:00 – 19:00",高雄市,左營區
轟轟的家寵物美容｜住宿｜安親｜Home+Pet Pet Salon,802台灣高雄市苓雅區中正一路436號,0929 578 927,https://www.facebook.com/homepet2022,5,42,星期一: 10:30 – 18:30 | 星期二: 10:30 – 18:30 | 星期三: 10:30 – 18:30 | 星期四: 休息 | 星期五: 10:30 – 18:30 | 星期六: 10:30 – 18:30 | 星期日: 10:30 – 18:30,高雄市,左營區
布露熊寵物美容店-苓雅寵物美容|寵物洗澡|狗貓旅館|寵物住宿|寵物旅館|貓狗美容|在地推薦寵物店,802台灣高雄市苓雅區河南路128號,0981 133 711,https://linkgoods.com/blubear,5,38,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,高雄市,左營區
澎澎時光寵物美容．寵物住宿 (澎澎TIMES),802台灣高雄市苓雅區光華一路311號,07 222 6220,https://www.facebook.com/BonBonTIMES/,4.9,72,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 休息,高雄市,左營區
美露寵物PET/寵物洗澡美容/寵物住宿/寵物旅館,80768台灣高雄市三民區民本街12號,0958 198 921,https://www.facebook.com/maludoghouse/,4.8,56,星期一: 09:00 – 18:00 | 星期二: 09:00 – 18:00 | 星期三: 休息 | 星期四: 09:00 – 18:00 | 星期五: 09:00 – 18:00 | 星期六: 09:00 – 18:00 | 星期日: 09:00 – 18:00,高雄市,左營區
龍貓安親班 每週一公休 龍貓寄宿/牧草零售/寵物用品/龍貓寵物專賣店,804台灣高雄市鼓山區美術東二路57號,,https://lin.ee/P4KmL0g,5,11,"星期一: 休息 | 星期二: 15:00 – 17:00, 19:00 – 21:00 | 星期三: 15:00 – 17:00, 19:00 – 21:00 | 星期四: 15:00 – 17:00, 19:00 – 21:00 | 星期五: 15:00 – 17:00, 19:00 – 21:00 | 星期六: 15:00 – 17:00, 19:00 – 21:00 | 星期日: 15:00 – 17:00, 19:00 – 21:00",高雄市,左營區
祝妮皮安寵物住宿、安親、寄養,802台灣高雄市苓雅區武漢街113-4號,0963 223 711,https://lin.ee/Bnw96Km,5,41,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,高雄市,左營區
Q瑪寵物沙龍-富國館 - 貓狗SPA洗澡 造型課程、指甲修剪 寵物住宿、美容師證照教學,813台灣高雄市左營區富國路8號,07 556 8328,http://www.facebook.com/pg/qmapet8/about/?ref=page_internal,4.4,59,星期一: 10:00 – 19:00 | 星期二: 休息 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,高雄市,左營區
Q瑪寵物沙龍-九如館 - 人氣寵物洗澡 貓狗SPA 造型課程、指甲修剪 寵物住宿、美容師證照教學,807台灣高雄市三民區九如一路980號,07 389 2925,https://www.facebook.com/qmapet980/,4.8,157,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 休息 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,高雄市,左營區
五吉寵物旅館,831台灣高雄市大寮區永仁街18號1樓,0911 150 888,https://www.wujipet.com/,4.8,23,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,高雄市,左營區
幸運草寵物美容/前鎮寵物美容/前鎮寵物住宿/前鎮洗狗/高雄寵物美容/高雄寵物旅館/苓雅區寵物美容 /鼓山區寵物美容/三民區寵物美容,806台灣高雄市前鎮區二聖二路13號,0981 597 123,https://www.clover-13.com/,4.9,133,星期一: 10:30 – 20:00 | 星期二: 10:30 – 20:00 | 星期三: 10:30 – 20:00 | 星期四: 10:30 – 20:00 | 星期五: 10:30 – 20:00 | 星期六: 10:30 – 20:00 | 星期日: 休息,高雄市,左營區
欣麟（寵物住宿美容）犬舍,807台灣高雄市三民區九如一路381巷10號1樓,0903 752 566,,4.8,16,星期一: 10:00 – 18:00 | 星期二: 10:00 – 18:00 | 星期三: 休息 | 星期四: 10:00 – 18:00 | 星期五: 10:00 – 18:00 | 星期六: 09:00 – 17:00 | 星期日: 09:00 – 17:00,高雄市,左營區
金秋條貓部屋 - 寵物貓住宿 寵物貓旅館 短期長期貓咪住宿 貓咪安寧照顧 殘貓護理教學 生命教育,802台灣高雄市苓雅區興中二路54巷28號,0939 933 413,https://www.facebook.com/kingzcat/,5,36,星期一: 11:00 – 18:00 | 星期二: 11:00 – 18:00 | 星期三: 休息 | 星期四: 11:00 – 18:00 | 星期五: 休息 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00,高雄市,左營區
屹仙居寵物生活館-寵物美容/造型修剪/寵物安親/住宿/長期寄養/到府保姆,830台灣高雄市鳳山區青年路二段135號1樓,07 740 8135,https://www.facebook.com/yisianjyu/,5,34,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,高雄市,左營區
喵起來住館｜喵起來DÙA ｜住宿/安親/到府/認養,80053台灣高雄市新興區復興二路344號2樓,0962 088 923,https://linkby.tw/meowtodua344?fbclid=PAAaYNAXGRL3DNbjwA5xhCIHtx85ghPgAGxYK_tZqDGDAORukxCMGBqzzyM8w_aem_AcbJnPouBOKeuo4UpbujWhF-Suaio49QxPvzh8mTkMNhLPWU7MM1VDD5IZnUke8sOKk,5,27,星期一: 13:00 – 22:00 | 星期二: 13:00 – 22:00 | 星期三: 13:00 – 22:00 | 星期四: 13:00 – 22:00 | 星期五: 13:00 – 22:00 | 星期六: 13:00 – 22:00 | 星期日: 13:00 – 22:00,高雄市,左營區
