店名,地址,電話,網站,評分,評分數量,營業時間,寄宿可能性,城市,區域,類型
專心動物醫院,100026台灣台北市中正區仁愛路一段47號,02 2363 3016,http://cardiospecialvh.com/,4.6,369,星期一: 10:00 – 21:30 | 星期二: 13:00 – 21:00 | 星期三: 10:00 – 18:00 | 星期四: 10:00 – 18:00 | 星期五: 10:00 – 21:30 | 星期六: 10:00 – 18:00 | 星期日: 休息,5,台北市,中正區,醫院
佑昇動物醫院,100台灣台北市中正區羅斯福路三段38號,02 2365 6729,,4.2,72,"星期一: 09:00 – 12:00, 14:00 – 21:30 | 星期二: 09:00 – 12:00, 14:00 – 21:30 | 星期三: 09:00 – 12:00, 14:00 – 21:30 | 星期四: 09:00 – 12:00, 14:00 – 21:30 | 星期五: 09:00 – 12:00, 14:00 – 21:30 | 星期六: 09:00 – 12:00, 14:00 – 21:30 | 星期日: 09:00 – 12:00, 14:00 – 16:00",5,台北市,中正區,醫院
五洲動物醫院,106台灣台北市大安區新生南路一段137-2號,02 2707 9477,http://www.petvet.com.tw/,4.4,179,星期一: 09:00 – 21:00 | 星期二: 09:00 – 21:00 | 星期三: 09:00 – 21:00 | 星期四: 09:00 – 21:00 | 星期五: 09:00 – 21:00 | 星期六: 09:00 – 21:00 | 星期日: 09:00 – 16:00,5,台北市,中正區,醫院
中正犬貓醫院,100台灣中正區重慶南路三段60號,02 2305 4880,,5,22,,5,台北市,中正區,醫院
王樣動物醫院,106台灣台北市大安區金華街217號,02 2357 0217,https://zh-cn.facebook.com/pages/%E7%8E%8B%E6%A8%A3%E5%8B%95%E7%89%A9%E9%86%AB%E9%99%A2/193504124033066,4.8,649,"星期一: 10:00 – 13:30, 16:30 – 19:00 | 星期二: 10:00 – 13:30, 16:30 – 19:00 | 星期三: 10:00 – 13:30, 16:30 – 19:00 | 星期四: 休息 | 星期五: 10:00 – 13:30, 16:30 – 19:00 | 星期六: 10:00 – 13:30, 16:30 – 19:00 | 星期日: 休息",5,台北市,中正區,醫院
萊特動物醫院-特殊寵物專科,106台灣台北市大安區辛亥路一段50號,02 2365 8628,https://www.facebook.com/profile.php?id=100086000867460,4.7,232,"星期一: 10:00 – 12:00, 13:00 – 17:00, 18:00 – 21:00 | 星期二: 10:00 – 12:00, 13:00 – 17:00, 18:00 – 21:00 | 星期三: 10:00 – 12:00, 13:00 – 17:00, 18:00 – 21:00 | 星期四: 10:00 – 12:00, 13:00 – 17:00, 18:00 – 21:00 | 星期五: 10:00 – 12:00, 13:00 – 17:00, 18:00 – 21:00 | 星期六: 10:00 – 12:00, 13:00 – 17:00, 18:00 – 21:00 | 星期日: 休息",5,台北市,中正區,醫院
大群動物醫院,116台灣台北市文山區羅斯福路六段136號1樓,02 7750 5028,http://dacyun-vet.tw/,4.3,766,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,5,台北市,中正區,醫院
慈愛動物醫院-台北總院,10356台灣台北市大同區寧夏路1號,02 2556 3320,https://m.facebook.com/Lkah011,3.5,720,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,5,台北市,中正區,醫院
來旺動物醫院,100台灣中正區重慶南路三段50號,02 2305 1120,,4.2,90,"星期一: 09:30 – 12:00, 15:00 – 17:00, 19:00 – 21:00 | 星期二: 09:30 – 12:00, 15:00 – 17:00, 19:00 – 21:00 | 星期三: 09:30 – 12:00, 15:00 – 17:00, 19:00 – 21:00 | 星期四: 09:30 – 12:00, 15:00 – 17:00, 19:00 – 21:00 | 星期五: 09:30 – 12:00, 15:00 – 17:00, 19:00 – 21:00 | 星期六: 09:30 – 12:00 | 星期日: 休息",5,台北市,中正區,醫院
長青動物醫院（預約制）,108台灣台北市萬華區廣州街78號,02 2336 9908,http://www.egah.com.tw/,4.5,963,星期一: 09:00 – 21:00 | 星期二: 09:00 – 21:00 | 星期三: 09:00 – 21:00 | 星期四: 09:00 – 21:00 | 星期五: 09:00 – 21:00 | 星期六: 09:00 – 21:00 | 星期日: 09:00 – 21:00,5,台北市,中正區,醫院
安庭動物醫院,106台灣台北市大安區金山南路二段139號東門大廈,02 2392 3655,,4.7,316,星期一: 10:30 – 19:00 | 星期二: 10:30 – 19:00 | 星期三: 10:30 – 19:00 | 星期四: 10:30 – 19:00 | 星期五: 10:30 – 19:00 | 星期六: 10:00 – 18:00 | 星期日: 休息,5,台北市,中正區,醫院
展望急診重症後送動物醫院,108台灣台北市万华区中华路二段2號一樓,02 2388 0122,,4,1133,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,5,台北市,中正區,醫院+24h急診
正安動物醫院,103台灣台北市大同區民權西路240號,02 2557 1757,,4.8,338,"星期一: 09:00 – 11:30, 14:00 – 20:30 | 星期二: 09:00 – 11:30, 14:00 – 20:30 | 星期三: 09:00 – 11:30, 14:00 – 20:30 | 星期四: 09:00 – 11:30, 14:00 – 20:30 | 星期五: 09:00 – 11:30, 14:00 – 20:30 | 星期六: 09:00 – 11:30, 14:00 – 17:30 | 星期日: 休息",5,台北市,中正區,醫院
凱揚動物醫院 台北市中山區 雷射 高壓氧 健康檢查 洗牙結紮 外科,104台灣台北市中山區八德路二段331號,02 2751 2218,https://www.facebook.com/Care.Veterinary/,4.9,241,"星期一: 10:00 – 13:00, 14:00 – 20:00 | 星期二: 10:00 – 13:00, 14:00 – 20:00 | 星期三: 10:00 – 13:00, 14:00 – 20:00 | 星期四: 10:00 – 13:00, 14:00 – 20:00 | 星期五: 10:00 – 13:00, 14:00 – 20:00 | 星期六: 10:00 – 13:00, 14:00 – 18:00 | 星期日: 休息",5,台北市,中正區,醫院
晨光動物醫院,103台灣台北市大同區重慶北路二段47號,02 2558 3347,http://www.petline.com.tw/petline/cgi/index_factory.cgi?t=petfactory_view&ID=11028&R23=1000&PAGEMENU=2,4.8,284,星期一: 09:30 – 21:00 | 星期二: 09:30 – 21:00 | 星期三: 09:30 – 21:00 | 星期四: 09:30 – 21:00 | 星期五: 09:30 – 21:00 | 星期六: 09:30 – 21:00 | 星期日: 休息,5,台北市,中正區,醫院
德心動物醫院,10491台灣台北市中山區八德路二段121號,02 2504 5355,,4.7,618,"星期一: 10:00 – 13:00, 14:00 – 17:30, 18:00 – 21:00 | 星期二: 10:00 – 13:00, 14:00 – 17:30, 18:00 – 21:00 | 星期三: 10:00 – 13:00, 14:00 – 17:30, 18:00 – 21:00 | 星期四: 休息 | 星期五: 10:00 – 13:00, 14:00 – 17:30, 18:00 – 21:00 | 星期六: 10:00 – 13:00, 14:00 – 17:30, 18:00 – 21:00 | 星期日: 10:00 – 13:00, 14:00 – 17:30, 18:00 – 21:00",5,台北市,中正區,醫院
沐恩動物醫院,106台灣台北市大安區辛亥路一段86號,02 2366 0203,http://www.muanamc.tw/,4.4,238,"星期一: 10:00 – 12:30, 14:00 – 21:00 | 星期二: 10:00 – 12:30, 14:00 – 21:00 | 星期三: 10:00 – 12:30, 14:00 – 21:00 | 星期四: 10:00 – 12:30, 14:00 – 21:00 | 星期五: 10:00 – 12:30, 14:00 – 21:00 | 星期六: 10:00 – 12:30, 14:00 – 21:00 | 星期日: 休息",5,台北市,中正區,醫院
小王子貓專科醫院 Prince Cat Hospital,106022台灣台北市大安區建國南路二段197號,02 2706 1297,http://www.princevets.com/,4.8,194,星期一: 10:30 – 20:00 | 星期二: 10:30 – 20:00 | 星期三: 10:30 – 20:00 | 星期四: 10:30 – 20:00 | 星期五: 10:30 – 20:00 | 星期六: 09:30 – 17:00 | 星期日: 09:30 – 17:00,5,台北市,中正區,醫院
安心動物醫院,116台灣台北市文山區羅斯福路五段17號,02 2932 6935,https://www.facebook.com/profile.php?id=100063825224729&mibextid=ZbWKwL,4.7,120,"星期一: 休息 | 星期二: 10:00 – 11:30, 15:00 – 17:30, 19:30 – 21:00 | 星期三: 10:00 – 11:30, 15:00 – 17:30, 19:30 – 21:00 | 星期四: 10:00 – 11:30, 15:00 – 17:30, 19:30 – 21:00 | 星期五: 10:00 – 11:30, 15:00 – 17:30, 19:30 – 21:00 | 星期六: 14:00 – 18:00 | 星期日: 14:00 – 18:00",5,台北市,中正區,醫院
敦品動物醫院 |犬貓專業牙科|犬貓洗牙|老狗麻醉洗牙|動物醫院推薦|犬貓內科|狗貓健檢|獸醫推薦,106台灣台北市大安区瑞安街124號1樓,02 2707 0877,https://drpet.com.tw/,4.8,283,"星期一: 12:00 – 17:30, 18:30 – 21:00 | 星期二: 12:00 – 17:30, 18:30 – 21:00 | 星期三: 12:00 – 17:30, 18:30 – 21:00 | 星期四: 12:00 – 17:30, 18:30 – 21:00 | 星期五: 12:00 – 17:30, 18:30 – 21:00 | 星期六: 12:00 – 17:30, 18:30 – 21:00 | 星期日: 休息",5,台北市,中正區,醫院
華中動物醫院,108台灣台北市萬華區萬大路227號,02 2332 8572,https://zh-tw.facebook.com/%E8%8F%AF%E4%B8%AD%E5%8B%95%E7%89%A9%E9%86%AB%E9%99%A2-111177432406358/,4.4,388,"星期一: 10:00 – 12:00, 14:00 – 18:00, 19:00 – 21:00 | 星期二: 10:00 – 12:00, 14:00 – 18:00, 19:00 – 21:00 | 星期三: 10:00 – 12:00, 14:00 – 18:00, 19:00 – 21:00 | 星期四: 10:00 – 12:00, 14:00 – 18:00, 19:00 – 21:00 | 星期五: 10:00 – 12:00, 14:00 – 18:00, 19:00 – 21:00 | 星期六: 10:00 – 12:00, 14:00 – 18:00, 19:00 – 21:00 | 星期日: 休息",5,台北市,中正區,醫院
不萊梅特殊寵物專科醫院,103台灣台北市大同區民權西路227號,02 2599 3907,https://www.facebook.com/Bravevetnew,4.4,816,"星期一: 10:00 – 12:30, 13:30 – 17:30, 18:30 – 20:00 | 星期二: 10:00 – 12:30, 13:30 – 17:30 | 星期三: 10:00 – 12:30, 13:30 – 17:30, 18:30 – 20:00 | 星期四: 10:00 – 12:30, 13:30 – 17:30, 18:30 – 20:00 | 星期五: 10:00 – 12:30, 13:30 – 17:30, 18:30 – 20:00 | 星期六: 10:00 – 12:30, 13:30 – 17:30, 18:30 – 20:00 | 星期日: 10:00 – 12:30, 13:30 – 17:30, 18:30 – 20:00",5,台北市,中正區,醫院
遠見動物醫院,106台灣台北市大安區和平東路二段68號,02 2377 5388,http://www.veca.tw/,4.4,788,"星期一: 10:00 – 13:00, 14:00 – 21:00 | 星期二: 10:00 – 13:00, 14:00 – 21:00 | 星期三: 10:00 – 13:00, 14:00 – 21:00 | 星期四: 10:00 – 13:00, 14:00 – 21:00 | 星期五: 10:00 – 13:00, 14:00 – 21:00 | 星期六: 10:00 – 13:00, 14:00 – 21:00 | 星期日: 10:00 – 13:00, 14:00 – 18:00",5,台北市,中正區,醫院
富康動物醫院,106台灣台北市大安區建國南路一段298號,02 2702 0135,https://www.facebook.com/Fukanganimalspa?mibextid=LQQJ4d,4.8,94,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 休息,5,台北市,中正區,醫院
諾亞動物醫院,104台灣台北市中山區吉林路166號,0972 619 992,,4.7,538,"星期一: 09:00 – 13:00, 14:00 – 17:00, 18:00 – 21:00 | 星期二: 09:00 – 13:00, 14:00 – 17:00, 18:00 – 21:00 | 星期三: 09:00 – 13:00, 14:00 – 17:00, 18:00 – 21:00 | 星期四: 09:00 – 13:00, 14:00 – 17:00, 18:00 – 21:00 | 星期五: 09:00 – 13:00, 14:00 – 17:00, 18:00 – 21:00 | 星期六: 09:00 – 13:00, 14:00 – 17:00, 18:00 – 21:00 | 星期日: 休息",5,台北市,中正區,醫院
集英動物醫院,104台灣台北市中山區長安東路一段61-1號1樓,02 7713 6111,http://www.genevet.com.tw/,4.6,264,"星期一: 12:00 – 17:30, 19:30 – 23:00 | 星期二: 12:00 – 17:30, 19:30 – 23:00 | 星期三: 12:00 – 17:30, 19:30 – 23:00 | 星期四: 12:00 – 17:30, 19:30 – 23:00 | 星期五: 12:00 – 17:30, 19:30 – 23:30 | 星期六: 12:00 – 17:30, 19:30 – 23:30 | 星期日: 12:00 – 17:30, 19:30 – 23:00",5,台北市,中正區,醫院
上群動物醫院-大安動物醫院推薦|寵物內視鏡微創|動物醫院評價|狗狗生病|寵物醫院|獸醫推薦,106台灣台北市大安區延吉街72-20號,02 2775 3007,http://shangqun.com.tw/,4.5,434,"星期一: 09:00 – 11:30, 13:30 – 16:30, 18:30 – 20:30 | 星期二: 09:00 – 11:30, 13:30 – 16:30, 18:30 – 20:30 | 星期三: 09:00 – 11:30, 13:30 – 16:30, 18:30 – 20:30 | 星期四: 09:00 – 11:30, 13:30 – 16:30, 18:30 – 20:30 | 星期五: 09:00 – 11:30, 13:30 – 16:30, 18:30 – 20:30 | 星期六: 09:00 – 11:30, 13:30 – 16:30, 18:30 – 20:30 | 星期日: 09:00 – 11:30, 13:30 – 16:30",5,台北市,中正區,醫院
恩典動物醫院,10491台灣台北市中山區民生東路二段45號,02 2531 4545,,4.7,407,星期一: 09:00 – 21:00 | 星期二: 09:00 – 21:00 | 星期三: 09:00 – 21:00 | 星期四: 09:00 – 21:00 | 星期五: 09:00 – 21:00 | 星期六: 09:00 – 18:00 | 星期日: 休息,5,台北市,中正區,醫院
毛派樂動物醫院-大安動物醫院推薦|台北犬貓牙科|犬貓洗牙|動物心臟科|狗貓牙周病|狗貓口炎,106台灣台北市大安區建國南路二段151巷47號1樓,02 3707 6711,,4.8,101,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 休息,5,台北市,中正區,醫院
長宏動物醫院,10491台灣台北市中山區吉林路173號,02 2567 8939,http://changchung0113.blogspot.tw/,4.6,384,"星期一: 09:30 – 12:00, 13:30 – 17:00, 18:30 – 21:00 | 星期二: 09:30 – 12:00, 13:30 – 17:00, 18:30 – 21:00 | 星期三: 09:30 – 12:00, 13:30 – 17:00, 18:30 – 21:00 | 星期四: 09:30 – 12:00, 13:30 – 17:00, 18:30 – 21:00 | 星期五: 09:30 – 12:00, 13:30 – 17:00, 18:30 – 21:00 | 星期六: 09:30 – 12:00, 13:30 – 17:00 | 星期日: 休息",5,台北市,中正區,醫院
旺竹動物醫院,103台灣台北市大同區承德路三段142號,02 2599 6230,,4.8,294,"星期一: 10:30 – 13:00, 15:00 – 20:00 | 星期二: 10:30 – 13:00, 15:00 – 20:00 | 星期三: 10:30 – 13:00, 15:00 – 20:00 | 星期四: 10:30 – 13:00, 15:00 – 20:00 | 星期五: 10:30 – 13:00, 15:00 – 20:00 | 星期六: 10:30 – 13:00, 15:00 – 20:00 | 星期日: 10:30 – 13:00, 15:00 – 17:00",5,台北市,中正區,醫院
碩聯動物醫院,106032台灣台北市大安區復興南路二段342-1號1樓,02 2736 6549,https://m.facebook.com/msah.vet,4.6,223,"星期一: 10:00 – 17:00, 18:00 – 21:00 | 星期二: 10:00 – 17:00, 18:00 – 21:00 | 星期三: 10:00 – 17:00, 18:00 – 21:00 | 星期四: 10:00 – 17:00, 18:00 – 21:00 | 星期五: 10:00 – 17:00, 18:00 – 21:00 | 星期六: 10:00 – 18:00 | 星期日: 10:00 – 18:00",5,台北市,中正區,醫院
文藝動物醫院,10491台灣台北市中山區民生東路一段87號地下1樓,02 2521 2205#200,,4.4,128,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 休息,5,台北市,中正區,醫院
沐沐鼠兔鳥爬專科動物醫院（預約制）,104103台灣台北市中山區龍江路78號,02 7713 7707,https://www.facebook.com/casiwaclinic/,4.6,293,"星期一: 休息 | 星期二: 09:30 – 12:00, 13:00 – 17:00, 18:00 – 20:00 | 星期三: 09:30 – 12:00, 13:00 – 17:00 | 星期四: 09:30 – 12:00, 13:00 – 17:00 | 星期五: 09:30 – 12:00, 13:00 – 17:00, 18:00 – 20:00 | 星期六: 09:30 – 12:00, 13:00 – 17:00 | 星期日: 休息",5,台北市,中正區,醫院
波拉動物醫院,104台灣台北市中山區長安東路二段12號,02 2511 6151,https://www.facebook.com/polavet0513,5,67,"星期一: 10:00 – 13:00, 15:00 – 21:00 | 星期二: 10:00 – 13:00, 15:00 – 21:00 | 星期三: 15:00 – 21:00 | 星期四: 10:00 – 13:00, 15:00 – 21:00 | 星期五: 10:00 – 13:00, 15:00 – 21:00 | 星期六: 10:00 – 13:00, 15:00 – 21:00 | 星期日: 休息",5,台北市,中正區,醫院
艋舺動物醫院,108653台灣台北市萬華區萬大路365號,02 2301 0365,,4.6,166,"星期一: 10:30 – 12:00, 14:30 – 21:30 | 星期二: 休息 | 星期三: 10:30 – 12:00, 14:30 – 21:30 | 星期四: 10:30 – 12:00, 14:30 – 21:30 | 星期五: 10:30 – 12:00, 14:30 – 21:30 | 星期六: 10:30 – 12:00, 14:30 – 21:30 | 星期日: 10:30 – 12:00, 14:30 – 21:30",5,台北市,中正區,醫院
興泰動物醫院 24hr急診重症中心,10558台灣台北市松山區延吉街57號一樓,02 2579 5722,http://www.stah.com.tw/,4.3,2535,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,5,台北市,中正區,醫院+24h急診
和平綜合動物醫院,100台灣中正區羅斯福路二段7號,02 2394 7349,,5,1,,5,台北市,中正區,醫院
弘吉獸醫院-犬貓齒專科/內科(心臟.腎臟)/長照安養/大安區推薦小動物牙科獸醫院-Hong Ji Animal Hospital,106台灣台北市大安區市民大道三段238號,02 2741 0958,https://hongjivetdentistry.com/,4.9,200,"星期一: 09:00 – 12:30, 14:00 – 17:00, 18:00 – 21:00 | 星期二: 休息 | 星期三: 09:00 – 12:30, 14:00 – 17:00, 18:00 – 21:00 | 星期四: 09:00 – 12:30, 14:00 – 17:00, 18:00 – 21:00 | 星期五: 09:00 – 12:30, 14:00 – 17:00, 18:00 – 21:00 | 星期六: 09:00 – 12:30, 14:00 – 17:00, 18:00 – 21:00 | 星期日: 09:00 – 12:30, 14:00 – 17:00, 18:00 – 21:00",5,台北市,中正區,醫院
樂膚莉動物醫院,106台灣台北市大安區仁愛路三段82號,02 2784 6866,https://www.facebook.com/lovelyvetderm/,4.4,242,星期一: 休息 | 星期二: 11:00 – 19:00 | 星期三: 10:00 – 18:00 | 星期四: 11:00 – 19:00 | 星期五: 11:00 – 19:00 | 星期六: 10:00 – 18:00 | 星期日: 休息,5,台北市,中正區,醫院
小小貓動物醫院 (Little Kitten Clinic),104台灣台北市中山區朱崙街91號1樓,02 2533 7529,https://littlekittenclinic.booknow.com.tw/,4.8,398,星期一: 11:00 – 18:30 | 星期二: 11:00 – 18:30 | 星期三: 休息 | 星期四: 11:00 – 18:30 | 星期五: 11:00 – 18:30 | 星期六: 11:00 – 18:30 | 星期日: 休息,5,台北市,中正區,醫院
聖地牙哥動物醫院,106台灣台北市大安區羅斯福路三段65號3樓之一,02 2364 3458,,3.9,90,星期一: 13:30 – 21:00 | 星期二: 13:30 – 21:00 | 星期三: 13:30 – 21:00 | 星期四: 13:30 – 21:00 | 星期五: 13:30 – 21:00 | 星期六: 14:00 – 16:30 | 星期日: 休息,5,台北市,中正區,醫院
亞太動物醫院,116台灣台北市文山區景福街244號,02 2930 0005,http://www.asia-pacific.com.tw/,4.8,281,星期一: 12:30 – 21:00 | 星期二: 11:00 – 20:00 | 星期三: 休息 | 星期四: 休息 | 星期五: 11:00 – 20:00 | 星期六: 12:00 – 18:00 | 星期日: 休息,5,台北市,中正區,醫院
路米動物醫院,104台灣台北市中山區建國北路二段89號,02 7756 5218,https://lumi.vet/,4.1,235,"星期一: 10:00 – 13:00, 14:00 – 17:00, 18:00 – 21:00 | 星期二: 10:00 – 13:00, 14:00 – 17:00, 18:00 – 21:00 | 星期三: 10:00 – 13:00, 14:00 – 17:00, 18:00 – 21:00 | 星期四: 10:00 – 13:00, 14:00 – 17:00, 18:00 – 21:00 | 星期五: 10:00 – 13:00, 14:00 – 17:00, 18:00 – 21:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00",5,台北市,中正區,醫院
維東尼動物醫院,106台灣台北市大安區建國南路一段358號,02 2709 0123,,4.3,178,"星期一: 12:00 – 17:00, 18:00 – 21:00 | 星期二: 12:00 – 17:00, 18:00 – 21:00 | 星期三: 12:00 – 17:00, 18:00 – 21:00 | 星期四: 12:00 – 17:00, 18:00 – 21:00 | 星期五: 12:00 – 17:00, 18:00 – 21:00 | 星期六: 12:00 – 17:00, 18:00 – 21:00 | 星期日: 12:00 – 17:00, 18:00 – 21:00",5,台北市,中正區,醫院
Aurora Animal Hospital,106台灣台北市大安區建國南路二段31號,02 2784 8211,https://www.aurora-animal-hospital.org/doctors,4.6,412,"星期一: 09:30 – 12:30, 13:00 – 17:00, 17:30 – 20:30 | 星期二: 09:30 – 12:30, 13:00 – 17:00, 17:30 – 20:30 | 星期三: 09:30 – 12:30, 13:00 – 17:00, 17:30 – 20:30 | 星期四: 09:30 – 12:30, 13:00 – 17:00, 17:30 – 20:30 | 星期五: 09:30 – 12:30, 13:00 – 17:00, 17:30 – 20:30 | 星期六: 09:30 – 12:30 | 星期日: 休息",4,台北市,中正區,醫院
恩孺動物診所,100台灣台北市中正區金山南路一段92號1樓,02 2394 2821,http://azu.com.tw/,4,81,星期一: 13:00 – 19:00 | 星期二: 13:00 – 19:00 | 星期三: 休息 | 星期四: 13:00 – 19:00 | 星期五: 13:00 – 19:00 | 星期六: 09:30 – 15:00 | 星期日: 休息,2,台北市,中正區,醫院
